TEAM,WK15,QB,ADJUSTED
ARI,-11.33%,J.Brissett,
ATL,-18.36%,K.Cousins,
BAL,2.93%,L.Jackson,
BUF,10.79%,J.Allen,
CAR,-16.09%,B.Young,
CHI,-1.47%,C.Williams,
CIN,-1.89%,J.Burrow,
CLE,-28.64%,S.Sanders,
DAL,-1.95%,D.Prescott,
DEN,14.34%,B.Nix,
DET,28.27%,J.Goff,
GB,22.44%,J.Love,
HOU,11.68%,C.J.Stroud,
IND,-3.14%,P.Rivers,
JAX,9.74%,T.Lawrence,
KC,12.67%,P.Mahomes,
LAC,-0.11%,J.Herbert,
LAR,39.73%,M.Stafford,
LV,-31.53%,G.Smith,
MIA,0.07%,T.Tagovailoa,
MIN,-6.97%,J.J.McCarthy,
NE,4.68%,D.Maye,
NO,-22.15%,T.Shough,
NYG,-11.54%,J.Dart,
NYJ,-22.04%,T.Taylor,
PHI,5.90%,J.Hurts,
PIT,1.49%,A.Rodgers,
SEA,35.99%,S.Darnold,
SF,9.45%,B.Purdy,
TB,-4.70%,B.Mayfield,
TEN,-30.69%,C.Ward,
WAS,-17.07%,M.Mariota,
