team_abbr,cap_space,eff_cap_space,active_cap_spending,dead_money
NE,67641515,57994152,233279148,20781038
LV,42389046,34606819,227409333,44216772
DET,42301798,39024145,241655715,21611312
TEN,41346921,31394481,221821021,36669386
SF,38559772,32483262,221038005,80955905
DAL,37660095,32691961,247694305,20725931
SEA,34681105,29391340,183374256,67430001
ARI,32192419,27890803,253025481,7399996
TB,31761154,27954661,217781207,33553419
GB,31291715,27567556,247178381,18314706
PIT,31263075,28054277,248629508,5231682
LAC,29812756,25978329,228779217,24459721
JAX,29312332,20355115,209149827,58943468
NYJ,27557372,20509575,215001734,37061962
NO,27098521,20517056,202584946,52558346
LAR,26364807,24671209,203679584,50817433
WAS,26181574,23379924,257674706,14127733
CIN,25089869,20946299,254746740,6607962
IND,23151985,18394931,259272521,7316703
PHI,22488149,19381324,212436450,55531930
CLE,17331184,7178352,253139439,54535075
MIN,17259572,14468190,251480868,15313363
DEN,16562891,12697460,229702743,33452617
MIA,16516185,11694426,237799167,30629807
CAR,16306166,10243416,255381064,10686017
KC,12717171,9367981,260054906,13178901
BAL,11456234,7830753,245682737,20392396
CHI,10598865,4016924,269770995,4051895
ATL,9732336,4053154,267072212,7576660
HOU,7458635,4291350,242828904,38371843
BUF,3410789,-554401,239430949,29421260
NYG,1103422,-9357496,261153703,27299521
