round,pick_num,team,team_abbr
1,1,Giants,NYG
2,35,Giants,NYG
4,101,Giants,NYG
5,143,Giants,NYG
6,182,Giants,NYG
6,193,Giants,NYG
6,195,Giants,NYG
1,2,Raiders,LV
2,33,Raiders,LV
3,67,Raiders,LV
4,102,Raiders,LV
4,124,Raiders,LV
4,136,Raiders,LV
5,173,Raiders,LV
6,183,Raiders,LV
6,187,Raiders,LV
7,217,Raiders,LV
1,3,Titans,TEN
2,34,Titans,TEN
3,65,Titans,TEN
4,103,Titans,TEN
5,142,Titans,TEN
5,148,Titans,TEN
6,181,Titans,TEN
6,194,Titans,TEN
6,209,Titans,TEN
7,218,Titans,TEN
1,4,Browns,CLE
1,27,Browns,CLE
2,40,Browns,CLE
3,71,Browns,CLE
4,106,Browns,CLE
5,141,Browns,CLE
5,145,Browns,CLE
5,150,Browns,CLE
6,203,Browns,CLE
7,244,Browns,CLE
1,5,Saints,NO
2,36,Saints,NO
3,72,Saints,NO
4,130,Saints,NO
4,138,Saints,NO
5,146,Saints,NO
5,169,Saints,NO
6,185,Saints,NO
1,6,Commanders,WAS
3,68,Commanders,WAS
5,147,Commanders,WAS
6,186,Commanders,WAS
6,206,Commanders,WAS
7,220,Commanders,WAS
1,7,Jets,NYJ
1,18,Jets,NYJ
2,38,Jets,NYJ
2,47,Jets,NYJ
4,104,Jets,NYJ
5,177,Jets,NYJ
6,205,Jets,NYJ
7,238,Jets,NYJ
7,239,Jets,NYJ
7,253,Jets,NYJ
7,255,Jets,NYJ
7,257,Jets,NYJ
1,8,Cardinals,ARI
2,39,Cardinals,ARI
3,70,Cardinals,ARI
4,105,Cardinals,ARI
5,144,Cardinals,ARI
6,188,Cardinals,ARI
7,222,Cardinals,ARI
2,42,Falcons,ATL
3,73,Falcons,ATL
4,110,Falcons,ATL
6,190,Falcons,ATL
7,224,Falcons,ATL
1,10,Bengals,CIN
2,41,Bengals,CIN
3,74,Bengals,CIN
4,109,Bengals,CIN
6,189,Bengals,CIN
6,198,Bengals,CIN
7,216,Bengals,CIN
7,225,Bengals,CIN
1,11,Vikings,MIN
2,43,Vikings,MIN
3,75,Vikings,MIN
3,97,Vikings,MIN
5,161,Vikings,MIN
6,197,Vikings,MIN
7,226,Vikings,MIN
7,231,Vikings,MIN
7,237,Vikings,MIN
1,12,Dolphins,MIA
2,46,Dolphins,MIA
3,77,Dolphins,MIA
3,85,Dolphins,MIA
3,86,Dolphins,MIA
4,112,Dolphins,MIA
5,154,Dolphins,MIA
7,227,Dolphins,MIA
1,13,Ravens,BAL
2,44,Ravens,BAL
3,78,Ravens,BAL
4,113,Ravens,BAL
5,152,Ravens,BAL
5,165,Ravens,BAL
5,174,Ravens,BAL
5,175,Ravens,BAL
6,211,Ravens,BAL
7,249,Ravens,BAL
7,252,Ravens,BAL
1,14,Chiefs,KC
2,45,Chiefs,KC
3,76,Chiefs,KC
4,114,Chiefs,KC
5,153,Chiefs,KC
5,176,Chiefs,KC
1,15,Cowboys,DAL
1,28,Cowboys,DAL
4,115,Cowboys,DAL
5,155,Cowboys,DAL
5,178,Cowboys,DAL
5,180,Cowboys,DAL
7,229,Cowboys,DAL
1,16,Panthers,CAR
2,48,Panthers,CAR
3,80,Panthers,CAR
4,116,Panthers,CAR
5,151,Panthers,CAR
5,156,Panthers,CAR
6,196,Panthers,CAR
7,223,Panthers,CAR
1,17,Lions,DET
2,50,Lions,DET
4,118,Lions,DET
4,135,Lions,DET
5,157,Lions,DET
6,207,Lions,DET
6,210,Lions,DET
2,49,Colts,IND
3,82,Colts,IND
4,117,Colts,IND
5,158,Colts,IND
6,215,Colts,IND
7,233,Colts,IND
7,250,Colts,IND
1,19,Buccaneers,TB
2,52,Buccaneers,TB
3,83,Buccaneers,TB
4,120,Buccaneers,TB
5,159,Buccaneers,TB
6,200,Buccaneers,TB
7,234,Buccaneers,TB
1,20,Steelers,PIT
2,51,Steelers,PIT
3,79,Steelers,PIT
3,84,Steelers,PIT
3,99,Steelers,PIT
4,119,Steelers,PIT
4,134,Steelers,PIT
5,160,Steelers,PIT
6,213,Steelers,PIT
6,214,Steelers,PIT
7,219,Steelers,PIT
7,235,Steelers,PIT
1,21,Eagles,PHI
2,54,Eagles,PHI
3,69,Eagles,PHI
3,98,Eagles,PHI
4,122,Eagles,PHI
4,137,Eagles,PHI
5,149,Eagles,PHI
5,179,Eagles,PHI
1,22,Texans,HOU
2,37,Texans,HOU
2,53,Texans,HOU
3,66,Texans,HOU
4,108,Texans,HOU
4,121,Texans,HOU
5,162,Texans,HOU
7,240,Texans,HOU
1,23,Bears,CHI
2,59,Bears,CHI
3,90,Bears,CHI
4,129,Bears,CHI
5,164,Bears,CHI
7,236,Bears,CHI
7,242,Bears,CHI
1,24,Chargers,LAC
2,55,Chargers,LAC
3,91,Chargers,LAC
4,126,Chargers,LAC
6,204,Chargers,LAC
1,25,Bills,BUF
2,56,Bills,BUF
3,87,Bills,BUF
4,127,Bills,BUF
5,166,Bills,BUF
7,221,Bills,BUF
7,230,Bills,BUF
1,26,49ers,SF
2,57,49ers,SF
3,88,49ers,SF
4,123,49ers,SF
4,133,49ers,SF
4,139,49ers,SF
4,140,49ers,SF
7,246,49ers,SF
2,58,Jaguars,JAX
3,81,Jaguars,JAX
3,89,Jaguars,JAX
3,100,Jaguars,JAX
4,111,Jaguars,JAX
5,163,Jaguars,JAX
5,167,Jaguars,JAX
6,202,Jaguars,JAX
7,232,Jaguars,JAX
7,241,Jaguars,JAX
7,245,Jaguars,JAX
2,60,Packers,GB
3,92,Packers,GB
4,128,Packers,GB
5,168,Packers,GB
6,208,Packers,GB
7,243,Packers,GB
7,254,Packers,GB
1,29,Seahawks,SEA
2,62,Seahawks,SEA
3,93,Seahawks,SEA
6,184,Seahawks,SEA
1,9,Rams,LAR
1,30,Rams,LAR
2,61,Rams,LAR
3,94,Rams,LAR
5,170,Rams,LAR
6,201,Rams,LAR
7,228,Rams,LAR
7,248,Rams,LAR
1,31,Patriots,NE
2,64,Patriots,NE
3,95,Patriots,NE
4,125,Patriots,NE
4,132,Patriots,NE
5,171,Patriots,NE
6,191,Patriots,NE
6,192,Patriots,NE
6,199,Patriots,NE
6,212,Patriots,NE
1,32,Broncos,DEN
2,63,Broncos,DEN
3,96,Broncos,DEN
4,107,Broncos,DEN
4,131,Broncos,DEN
5,172,Broncos,DEN
7,247,Broncos,DEN
7,251,Broncos,DEN
7,256,Broncos,DEN
