player,pos,team_2024,team_2025,type,snaps,age,current_apy,guarantees,team_abbr_24,team_abbr_25
Josh Allen,QB,Bills,Bills,Extension,0.89,29,55000000,55000000,BUF,BUF
Matt Stafford,QB,Rams,Rams,Signed,0.9390000000000001,37,40000000,40000000,LAR,LAR
Davante Adams,WR,Jets,Rams,Signed,0.732,33,22000000,22000000,NYJ,LAR
Cooper Kupp,WR,Rams,Seahawks,Signed,0.584,32,15000000,15000000,LAR,SEA
Geno Smith,QB,Seahawks,Raiders,Trade,0.977,35,37500000,37500000,SEA,LV
Laremy Tunsil,LT,Texans,Commanders,Trade,0.929,31,25000000,25000000,HOU,WAS
Myles Garrett,EDGE,Browns,Browns,Extension,0.762,30,40000000,40000000,CLE,CLE
Danielle Hunter,EDGE,Texans,Texans,Signed,0.7,31,35600000,35600000,HOU,HOU
D.K. Metcalf,WR,Seahawks,Steelers,Trade,0.755,28,32999882,32999882,SEA,PIT
Deebo Samuel,WR,49ers,Commanders,Trade,0.632,29,23850000,23850000,SF,WAS
Maxx Crosby,EDGE,Raiders,Raiders,Extension,0.6890000000000001,28,35500000,35500000,LV,LV
Stefon Diggs,WR,Texans,Patriots,Signed,0.389,32,21166667,21166667,HOU,NE
Bradley Chubb,EDGE,Dolphins,Dolphins,Signed,0,29,18163333,18163333,MIA,MIA
Tee Higgins,WR,Bengals,Bengals,Franchise,0.5589999999999999,26,28750000,28750000,CIN,CIN
Joey Bosa,EDGE,Chargers,Bills,Signed,0.41700000000000004,30,12610000,12610000,LAC,BUF
Keenan Allen,WR,Bears,,UFA,0.748,33,20025000,20025000,CHI,NA
Chris Godwin,WR,Buccaneers,Buccaneers,Signed,0.349,29,22000000,22000000,TB,TB
Lane Johnson,RT,Eagles,Eagles,Extension,0.81,35,25000000,25000000,PHI,PHI
Amari Cooper,WR,Bills,,UFA,0.515,31,20000000,20000000,BUF,NA
Von Miller,EDGE,Bills,,SFA,0.253,36,19088750,19088750,BUF,NA
Khalil Mack,EDGE,Chargers,Chargers,Signed,0.564,34,18000000,18000000,LAC,LAC
Jake Matthews,LT,Falcons,Falcons,Extension,0.978,33,22500000,22500000,ATL,ATL
Diontae Johnson,WR,Ravens,,UFA,0.39899999999999997,29,18355000,18355000,BAL,NA
Jonathan Allen,IDL,Commanders,Vikings,Signed,0.278,30,17000000,17000000,WAS,MIN
Christian Kirk,WR,Jaguars,Texans,Signed,0.326,29,18000000,18000000,JAX,HOU
Cam Robinson,LT,Vikings,Texans,Signed,0.9209999999999999,30,12000000,12000000,MIN,HOU
Harold Landry,EDGE,Titans,Patriots,Signed,0.78,29,14500000,14500000,TEN,NE
Braden Smith,RT,Colts,Colts,Signed,0.672,29,8000000,8000000,IND,IND
Dre'Mont Jones,IDL,Seahawks,Titans,Signed,0.5770000000000001,28,8500000,8500000,SEA,TEN
Jonah Jackson,RG,Rams,Bears,Trade,0.244,28,14833333,14833333,LAR,CHI
Grady Jarrett,IDL,Falcons,Bears,Signed,0.6679999999999999,32,14250000,14250000,ATL,CHI
Joe Thuney,LG,Chiefs,Bears,Trade,0.973,33,16000000,16000000,KC,CHI
Jack Conklin,RT,Browns,Browns,Signed,0.6920000000000001,31,9000000,9000000,CLE,CLE
Haason Reddick,EDGE,Jets,Buccaneers,Signed,0.342,31,14000000,14000000,NYJ,TB
Uchenna Nwosu,EDGE,Seahawks,Seahawks,Signed,0.133,29,9755000,9755000,SEA,SEA
Tyler Lockett,WR,Seahawks,Titans,Signed,0.695,33,0,0,SEA,TEN
Carlton Davis,CB,Lions,Patriots,Signed,0.636,29,18000000,18000000,DET,NE
Matt Milano,LB,Bills,Bills,Signed,0.166,31,6306500,6306500,BUF,BUF
Evan Engram,TE,Jaguars,Broncos,Signed,0.35100000000000003,31,11500000,11500000,JAX,DEN
Charvarius Ward,CB,49ers,Colts,Signed,0.6509999999999999,29,18000000,18000000,SF,IND
Demarcus Lawrence,EDGE,Cowboys,Seahawks,Signed,0.124,33,10833333,10833333,DAL,SEA
Cameron Jordan,EDGE,Saints,Saints,Signed,0.48,36,6050000,6050000,NO,NO
DeAndre Hopkins,WR,Chiefs,Ravens,Signed,0.47200000000000003,33,5000000,5000000,KC,BAL
Chase Young,EDGE,Saints,Saints,Signed,0.63,26,17000000,17000000,NO,NO
Saquon Barkley,RB,Eagles,Eagles,Extension,0.6920000000000001,28,20600000,20600000,PHI,PHI
Gardner Minshew,QB,Raiders,Chiefs,Signed,0.502,29,1170000,1170000,LV,KC
Preston Smith,EDGE,Steelers,,SFA,0.43,33,12500000,12500000,PIT,NA
Ryan Kelly,C,Colts,Vikings,Signed,0.5529999999999999,32,9000000,9000000,IND,MIN
Sheldon Rankins,IDL,Bengals,Texans,Signed,0.253,31,5250000,5250000,CIN,HOU
Chidobe Awuzie,CB,Titans,Ravens,Signed,0.312,30,1255000,1255000,TEN,BAL
Za'Darius Smith,EDGE,Lions,,SFA,0.54,33,11500000,11500000,DET,NA
Matt Judon,EDGE,Falcons,,UFA,0.588,33,11250000,11250000,ATL,NA
Allen Lazard,WR,Jets,Jets,Signed,0.605,30,2500000,2500000,NYJ,NYJ
D.J. Reed,CB,Jets,Lions,Signed,0.721,29,16000000,16000000,NYJ,DET
Justin Reid,S,Chiefs,Saints,Signed,0.9009999999999999,28,10500000,10500000,KC,NO
Leonard Floyd,EDGE,49ers,Falcons,Signed,0.568,33,10000000,10000000,SF,ATL
Brandon Scherff,RG,Jaguars,,UFA,0.981,34,10000000,10000000,JAX,NA
Josh Sweat,EDGE,Eagles,Cardinals,Signed,0.594,28,19100000,19100000,PHI,ARI
Brandin Cooks,WR,Cowboys,Saints,Signed,0.402,32,6500000,6500000,DAL,NO
Mike Williams,WR,Steelers,Chargers,Signed,0.43200000000000005,31,3000000,3000000,PIT,LAC
Sam Darnold,QB,Vikings,Seahawks,Signed,0.9940000000000001,28,33500000,33500000,MIN,SEA
Sam Hubbard,EDGE,Bengals,,SFA,0.359,30,10000000,10000000,CIN,NA
D.J. Jones,IDL,Broncos,Broncos,Signed,0.371,30,13000000,13000000,DEN,DEN
B.J. Hill,IDL,Bengals,Bengals,Signed,0.624,30,11000000,11000000,CIN,CIN
Larry Ogunjobi,IDL,Steelers,Bills,Signed,0.452,31,6696735,6696735,PIT,BUF
Jonathan Jones,CB,Patriots,Commanders,Signed,0.588,32,5500000,5500000,NE,WAS
Davon Godchaux,IDL,Patriots,Saints,Trade,0.581,31,5500000,5500000,NE,NO
Harrison Smith,S,Vikings,Vikings,Signed,0.89,36,10250000,10250000,MIN,MIN
"Chauncey Gardner-Johnson, Jr.",S,Eagles,Texans,Trade,0.867,28,9000000,9000000,PHI,HOU
James Daniels,RG,Steelers,Dolphins,Signed,0.184,28,8000000,8000000,PIT,MIA
Zach Wilson,QB,Broncos,Dolphins,Signed,0,26,6000000,6000000,DEN,MIA
Byron Murphy,CB,Vikings,Vikings,Signed,0.9329999999999999,27,18000000,18000000,MIN,MIN
Austin Corbett,RG,Panthers,Panthers,Signed,0.281,30,3000000,3000000,CAR,CAR
Alex Cappa,RG,Bengals,Raiders,Signed,0.996,30,5510000,5510000,CIN,LV
Derek Stingley Jr.,CB,Texans,Texans,Extension,0.924,26,30000000,30000000,HOU,HOU
Trey Lance,QB,Cowboys,Chargers,Signed,0.084,25,2000000,2000000,DAL,LAC
Lavonte David,LB,Buccaneers,Buccaneers,Signed,0.965,35,9000000,9000000,TB,TB
Adam Thielen,WR,Panthers,Panthers,Signed,0.413,35,8750000,8750000,CAR,CAR
Dre Greenlaw,LB,49ers,Broncos,Signed,0.032,28,10500000,10500000,SF,DEN
Charles Omenihu,EDGE,Chiefs,Chiefs,Signed,0.20800000000000002,28,4000000,4000000,KC,KC
Andre James,C,Raiders,Chargers,Signed,0.625,28,1170000,1170000,LV,LAC
Andrew Wylie,RT,Commanders,Commanders,Signed,0.768,31,4000000,4000000,WAS,WAS
Jacoby Brissett,QB,Patriots,Cardinals,Signed,0.321,33,6250000,6250000,NE,ARI
Kenneth Murray,LB,Titans,Cowboys,Trade,0.773,27,7750000,7750000,TEN,DAL
Ja'Marr Chase,WR,Bengals,Bengals,Extension,0.927,25,40250000,40250000,CIN,CIN
Robert Woods,WR,Texans,,UFA,0.326,33,7625000,7625000,HOU,NA
Kendall Fuller,CB,Dolphins,,SFA,0.523,30,7500000,7500000,MIA,NA
Justin Simmons,S,Falcons,,UFA,0.914,32,7500000,7500000,ATL,NA
Ronnie Stanley,LT,Ravens,Ravens,Signed,0.981,31,20000000,20000000,BAL,BAL
Javon Kinlaw,IDL,Jets,Commanders,Signed,0.607,28,15000000,15000000,NYJ,WAS
Roy Robertson-Harris,IDL,Seahawks,Giants,Signed,0.342,32,4500000,4500000,SEA,NYG
Aaron Jones,RB,Vikings,Vikings,Signed,0.627,31,10000000,10000000,MIN,MIN
Marquise Brown,WR,Chiefs,Chiefs,Signed,0.039,28,7000000,7000000,KC,KC
Jerome Baker,LB,Titans,Browns,Signed,0.517,29,1422500,1422500,TEN,CLE
Raekwon Davis,IDL,Colts,,SFA,0.302,28,7000000,7000000,IND,NA
DeMarcus Walker,IDL,Bears,,SFA,0.6920000000000001,31,7000000,7000000,CHI,NA
Stephon Gilmore,CB,Vikings,,UFA,0.665,35,7000000,7000000,MIN,NA
