Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
1,36900,00-0036900,NFL,CHA694469,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qya3dtjb5kgofcuj2tuw,Ja'Marr Chase,Ja'Marr Chase,WR,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,27.9%,17,706,175,127,17,
2,36322,00-0036322,NFL,JEF269287,https://static.www.nfl.com/image/upload/{formatInstructions}/league/f0ccavu3ppzcs51e1cuv,Justin Jefferson,Justin Jefferson,WR,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,29.8%,17,611,154,103,17,
3,39893,00-0039893,NFL,THO419793,https://static.www.nfl.com/image/upload/{formatInstructions}/league/plnekkriys4cm11rnxwl,Brian Thomas Jr.,Brian Thomas Jr.,WR,Jacksonville Jaguars,JAX,2250,2250,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,25.5%,17,521,133,87,17,
4,37238,00-0037238,NFL,LON013463,https://static.www.nfl.com/image/upload/{formatInstructions}/league/np91pvk7mczra1iyjkmo,Drake London,Drake London,WR,Atlanta Falcons,ATL,200,200,200,ATL,Falcons,ACT,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,29.3%,17,546,158,100,17,
5,36963,00-0036963,NFL,STB415291,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fd8nwhm6pvxfyzphzl6i,Amon-Ra St. Brown,Amon-Ra St. Brown,WR,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,27.0%,17,549,141,115,17,
6,36407,00-0036407,NFL,JEU415291,https://static.www.nfl.com/image/upload/{formatInstructions}/league/szca1v9butuqkjs7ekpm,Jerry Jeudy,Jerry Jeudy,WR,Cleveland Browns,CLE,1050,1050,1050,CLE,Browns,ACT,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,22.9%,17,712,145,90,17,
7,39337,00-0039337,NFL,NAB400459,https://static.www.nfl.com/image/upload/{formatInstructions}/league/w3edoyyuomqlovvp9ixc,Malik Nabers,Malik Nabers,WR,New York Giants,NYG,3410,3410,3410,NYG,Giants,ACT,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,30.7%,15,551,170,109,15,
8,36358,00-0036358,NFL,LAM138457,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ijxzvtumjhqu3zva1bwc,CeeDee Lamb,CeeDee Lamb,WR,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,24.4%,15,523,152,101,15,
8,39338,00-0039338,NFL,BOW196560,https://static.www.nfl.com/image/upload/{formatInstructions}/league/uzp2ffi0lomamxofsrhy,Brock Bowers,Brock Bowers,TE,Las Vegas Raiders,LV,2520,2520,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,25.8%,17,591,153,112,17,
10,39915,00-0039915,NFL,MCC512833,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qsvdiebsa34jtkcrjpju,Ladd McConkey,Ladd McConkey,WR,Los Angeles Chargers,LAC,4400,4400,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#0080C6,AFC,22.8%,16,479,112,82,16,
11,37744,00-0037744,NFL,MCB743360,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vd7av3vdfs6q7ncjogac,Trey McBride,Trey McBride,TE,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,28.1%,16,534,147,111,16,
12,38543,00-0038543,NFL,SMI829636,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kz7nsoloyrbzlp9gwuzc,Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,Seattle Seahawks,SEA,4600,4600,4600,SEA,Seahawks,ACT,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,24.1%,17,625,137,100,17,
13,33288,00-0033288,NFL,KIT388290,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ztz3xqjaqgok9m4nylgs,George Kittle,George Kittle,TE,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,18.3%,15,417,94,78,15,
14,37740,00-0037740,NFL,WIL691962,https://static.www.nfl.com/image/upload/{formatInstructions}/league/kbijsheobhwej7lh8mvf,Garrett Wilson,Garrett Wilson,WR,New York Jets,NYJ,3430,3430,3430,NYJ,Jets,ACT,3430,NYJ,Jets,New York,New York Jets,,,,,#115740,AFC,26.1%,17,650,154,101,17,
15,35659,00-0035659,NFL,MCL278328,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wokz1etv1wj1vhbmvxgs,Terry McLaurin,Terry McLaurin,WR,Washington Commanders,WAS,5110,5110,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#5A1414,NFC,23.2%,17,550,117,82,17,
16,34348,00-0034348,NFL,SUT333526,https://static.www.nfl.com/image/upload/{formatInstructions}/league/r2sr6cbma4c7wc3isejj,Courtland Sutton,Courtland Sutton,WR,Denver Broncos,DEN,1400,1400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,24.6%,17,582,135,81,17,
17,35676,00-0035676,NFL,BRO413223,https://static.www.nfl.com/image/private/{formatInstructions}/league/a014sgzctarbvhwb35lw,A.J. Brown,A.J. Brown,WR,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,23.2%,13,355,97,67,13,
