season,week,team,game_id,off_play_caller,def_play_caller,head_coach
1999,1,ARI,1999_01_ARI_PHI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,2,ARI,1999_02_ARI_MIA,Marc Trestman,Dave McGinnis,Vince Tobin
1999,3,ARI,1999_03_SF_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,4,ARI,1999_04_ARI_DAL,Marc Trestman,Dave McGinnis,Vince Tobin
1999,5,ARI,1999_05_NYG_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,6,ARI,1999_06_WAS_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,8,ARI,1999_08_NE_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,9,ARI,1999_09_ARI_NYJ,Marc Trestman,Dave McGinnis,Vince Tobin
1999,10,ARI,1999_10_DET_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,11,ARI,1999_11_DAL_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,12,ARI,1999_12_ARI_NYG,Marc Trestman,Dave McGinnis,Vince Tobin
1999,13,ARI,1999_13_PHI_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,14,ARI,1999_14_ARI_WAS,Marc Trestman,Dave McGinnis,Vince Tobin
1999,15,ARI,1999_15_BUF_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
1999,16,ARI,1999_16_ARI_ATL,Marc Trestman,Dave McGinnis,Vince Tobin
1999,17,ARI,1999_17_ARI_GB,Marc Trestman,Dave McGinnis,Vince Tobin
2000,1,ARI,2000_01_ARI_NYG,Marc Trestman,Dave McGinnis,Vince Tobin
2000,2,ARI,2000_02_DAL_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,4,ARI,2000_04_GB_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,5,ARI,2000_05_ARI_SF,Marc Trestman,Dave McGinnis,Vince Tobin
2000,6,ARI,2000_06_CLE_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,7,ARI,2000_07_PHI_ARI,Marc Trestman,Dave McGinnis,Vince Tobin
2000,8,ARI,2000_08_ARI_DAL,Marc Trestman,Larry Marmie,Vince Tobin
2000,9,ARI,2000_09_NO_ARI,Marc Trestman,Larry Marmie,Vince Tobin
2000,10,ARI,2000_10_WAS_ARI,Marc Trestman,Larry Marmie,Vince Tobin
2000,11,ARI,2000_11_ARI_MIN,Marc Trestman,Larry Marmie,Dave McGinnis
2000,12,ARI,2000_12_ARI_PHI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,13,ARI,2000_13_NYG_ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,14,ARI,2000_14_ARI_CIN,Marc Trestman,Larry Marmie,Dave McGinnis
2000,15,ARI,2000_15_ARI_JAX,Marc Trestman,Larry Marmie,Dave McGinnis
2000,16,ARI,2000_16_BAL_ARI,Marc Trestman,Larry Marmie,Dave McGinnis
2000,17,ARI,2000_17_ARI_WAS,Marc Trestman,Larry Marmie,Dave McGinnis
2001,2,ARI,2001_02_DEN_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,3,ARI,2001_03_ATL_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,4,ARI,2001_04_ARI_PHI,Rich Olson,Larry Marmie,Dave McGinnis
2001,5,ARI,2001_05_ARI_CHI,Rich Olson,Larry Marmie,Dave McGinnis
2001,6,ARI,2001_06_KC_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,7,ARI,2001_07_ARI_DAL,Rich Olson,Larry Marmie,Dave McGinnis
2001,8,ARI,2001_08_PHI_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,9,ARI,2001_09_NYG_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,10,ARI,2001_10_DET_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,11,ARI,2001_11_ARI_SD,Rich Olson,Larry Marmie,Dave McGinnis
2001,12,ARI,2001_12_ARI_OAK,Rich Olson,Larry Marmie,Dave McGinnis
2001,13,ARI,2001_13_WAS_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,14,ARI,2001_14_ARI_NYG,Rich Olson,Larry Marmie,Dave McGinnis
2001,15,ARI,2001_15_DAL_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2001,16,ARI,2001_16_ARI_CAR,Rich Olson,Larry Marmie,Dave McGinnis
2001,17,ARI,2001_17_ARI_WAS,Rich Olson,Larry Marmie,Dave McGinnis
2002,1,ARI,2002_01_ARI_WAS,Rich Olson,Larry Marmie,Dave McGinnis
2002,2,ARI,2002_02_ARI_SEA,Rich Olson,Larry Marmie,Dave McGinnis
2002,3,ARI,2002_03_SD_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,4,ARI,2002_04_NYG_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,5,ARI,2002_05_ARI_CAR,Rich Olson,Larry Marmie,Dave McGinnis
2002,7,ARI,2002_07_DAL_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,8,ARI,2002_08_ARI_SF,Rich Olson,Larry Marmie,Dave McGinnis
2002,9,ARI,2002_09_STL_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,10,ARI,2002_10_SEA_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,11,ARI,2002_11_ARI_PHI,Rich Olson,Larry Marmie,Dave McGinnis
2002,12,ARI,2002_12_OAK_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,13,ARI,2002_13_ARI_KC,Rich Olson,Larry Marmie,Dave McGinnis
2002,14,ARI,2002_14_DET_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,15,ARI,2002_15_ARI_STL,Rich Olson,Larry Marmie,Dave McGinnis
2002,16,ARI,2002_16_SF_ARI,Rich Olson,Larry Marmie,Dave McGinnis
2002,17,ARI,2002_17_ARI_DEN,Rich Olson,Larry Marmie,Dave McGinnis
2003,1,ARI,2003_01_ARI_DET,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,2,ARI,2003_02_SEA_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,3,ARI,2003_03_GB_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,4,ARI,2003_04_ARI_STL,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,5,ARI,2003_05_ARI_DAL,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,6,ARI,2003_06_BAL_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,8,ARI,2003_08_SF_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,9,ARI,2003_09_CIN_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,10,ARI,2003_10_ARI_PIT,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,11,ARI,2003_11_ARI_CLE,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,12,ARI,2003_12_STL_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,13,ARI,2003_13_ARI_CHI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,14,ARI,2003_14_ARI_SF,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,15,ARI,2003_15_CAR_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,16,ARI,2003_16_ARI_SEA,Jerry Sullivan,Larry Marmie,Dave McGinnis
2003,17,ARI,2003_17_MIN_ARI,Jerry Sullivan,Larry Marmie,Dave McGinnis
2004,1,ARI,2004_01_ARI_STL,Alex Wood,Clancy Pendergast,Dennis Green
2004,2,ARI,2004_02_NE_ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,3,ARI,2004_03_ARI_ATL,Alex Wood,Clancy Pendergast,Dennis Green
2004,4,ARI,2004_04_NO_ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,5,ARI,2004_05_ARI_SF,Alex Wood,Clancy Pendergast,Dennis Green
2004,7,ARI,2004_07_SEA_ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,8,ARI,2004_08_ARI_BUF,Alex Wood,Clancy Pendergast,Dennis Green
2004,9,ARI,2004_09_ARI_MIA,Alex Wood,Clancy Pendergast,Dennis Green
2004,10,ARI,2004_10_NYG_ARI,Alex Wood,Clancy Pendergast,Dennis Green
2004,11,ARI,2004_11_ARI_CAR,Alex Wood,Clancy Pendergast,Dennis Green
