rank,school,headshot,position,college_year,first_name,last_name,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,sbn,si,usa,walter,yahoo,std_dev,avg
1,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101507.png,RB,JR.,Saquon,Barkley,1,6,2,2,1,3,1,11,1,1,1,1,2,2.9,2.54
2,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101518.png,OG,JR.,Quenton,Nelson,3,3,1,8,3,2,2,4,2,4,2,2,4,1.8,3.08
3,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101508.png,ED,SR.,Bradley,Chubb,2,1,4,3,2,5,3,13,5,3,3,3,5,3,4
4,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101520.png,LB,JR.,Roquan,Smith,10,4,10,13,5,6,7,7,4,10,4,10,3,3.2,7.15
5,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101506.png,QB,JR.,Josh,Rosen,8,16,7,4,9,1,15,6,6,8,8,14,1,4.8,7.92
6,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101661.png,S,RS SO.,Derwin,James,11,2,11,12,7,4,12,5,11,16,5,5,7,4.1,8.31
7,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101660.png,S,JR.,Minkah,Fitzpatrick,6,9,5,6,8,14,23,10,3,6,6,9,9,5.1,8.77
8,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101662.png,CB,JR.,Denzel,Ward,9,13,18,7,6,12,9,9,7,9,14,12,15,3.6,10.77
9,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101504.png,QB,JR.,Sam,Darnold,5,22,44,1,4,21,5,2,8,2,13,4,14,12.1,11.15
10,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101528.png,LB,JR.,Tremaine,Edmunds,4,25,3,9,12,19,4,30,12,14,9,7,11,8.2,12.23
11,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101525.png,QB,SR.,Baker,Mayfield,12,34,8,11,11,22,17,1,10,7,15,32,19,9.5,15.31
12,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101526.png,IDL,JR.,Vita,Vea,16,19,23,20,14,34,6,20,9,12,11,6,20,7.8,16.15
13,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101663.png,CB,RS JR.,Josh,Jackson,17,8,22,21,27,11,20,8,20,13,22,11,12,6.1,16.31
14,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101510.png,ED,SR.,Harold,Landry,15,52,19,26,26,7,18,12,16,18,12,43,6,13.4,20.77
15,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101516.png,OT,SR.,Mike,McGlinchey,22,35,12,17,13,13,31,15,27,21,32,15,16,8,20.69
16,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101536.png,IDL,JR.,Da'Ron,Payne,34,24,25,35,15,26,8,37,14,17,21,8,23,9.6,22.08
17,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101515.png,WR,JR.,Calvin,Ridley,18,46,42,15,20,27,11,23,13,11,16,16,38,12,22.77
18,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101729.png,OG,SR.,Isaiah,Wynn,27,21,9,33,38,9,14,16,18,33,25,46,10,11.9,23
19,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101752.png,IDL,RS JR.,Taven,Bryan,30,17,32,19,21,20,13,34,34,20,34,17,13,8.2,23.38
20,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101514.png,RB,JR.,Derrius,Guice,29,12,21,10,35,10,22,45,21,25,10,29,37,11.3,23.54
21,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101568.png,QB,JR.,Lamar,Jackson,–,14,41,18,29,23,32,19,15,30,7,13,8,10.4,20.75
22,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101675.png,CB,JR.,Jaire,Alexander,24,11,15,34,17,52,27,22,26,37,18,27,17,11,25.15
23,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101603.png,ED,SR.,Marcus,Davenport,14,20,47,14,16,15,37,28,19,15,35,31,42,11.7,25.62
24,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101512.png,IDL,SR.,Mo,Hurst,38,7,13,23,61,8,33,3,17,29,23,60,29,18.4,26.46
25,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101532.png,LB,SR.,Rashaan,Evans,20,50,29,16,19,29,24,44,24,26,17,28,18,10.2,26.46
26,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101747.png,LB,RS JR.,Leighton,Vander Esch,19,27,38,30,32,16,10,26,28,23,48,41,25,10.3,27.92
27,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101728.png,OG,SR.,Will,Hernandez,41,23,34,39,25,30,21,17,22,42,20,39,33,8.8,29.69
28,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101521.png,WR,RS JR.,Courtland,Sutton,35,5,16,38,44,28,41,38,55,24,26,18,22,13.5,30
29,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101513.png,OT,JR.,Connor,Williams,13,30,6,27,37,38,39,18,29,19,31,98,28,22.2,31.77
