rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
1,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103504.png,ED,JR.,Nick,Bosa,1,2,1,2,1,1,5,2,2,3,2,1,2,2,2,1,1.88
2,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103509.png,IDL,RS SO.,Quinnen,Williams,2,1,4,1,2,2,1,12,3,1,4,2,1,1,1,2.7,2.56
3,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103524.png,ED,SR.,Josh,Allen,3,3,21,9,3,5,2,3,5,8,3,3,4,4,6,4.7,5.25
4,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103505.png,IDL,JR.,Ed,Oliver,5,6,2,4,7,3,3,6,11,4,9,6,3,11,7,2.9,6
5,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103507.png,LB,JR.,Devin,White,12,4,15,14,5,4,8,15,12,5,5,5,9,3,11,4.2,8.56
6,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103545.png,TE,RS SO.,T.J.,Hockenson,6,5,34,8,9,6,4,9,21,2,12,9,13,25,8,8.5,11.13
7,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103513.png,OT,JR.,Jonah,Williams,4,8,3,10,16,17,7,11,4,7,16,15,7,29,12,6.9,11.56
8,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103515.png,OT,JR.,Jawaan,Taylor,14,25,26,5,6,10,16,4,15,6,7,14,19,9,15,6.7,12.69
9,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103832.png,QB,RS JR.,Kyler,Murray,16,13,23,26,4,9,20,7,1,26,1,11,6,28,10,9,13.38
10,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103523.png,ED,SR.,Montez,Sweat,7,12,14,23,11,22,13,5,46,17,8,7,15,5,5,10.5,13.44
11,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103516.png,IDL,SR.,Christian,Wilkins,8,22,12,18,19,7,21,13,25,24,19,12,10,7,21,6.1,15.94
12,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103522.png,LB,JR.,Devin,Bush,10,11,30,24,24,8,12,26,18,12,11,20,12,31,9,7.8,17.5
13,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103514.png,ED,JR.,Clelin,Ferrell,21,23,17,11,18,21,19,23,35,20,17,18,14,14,14,6.1,18.31
14,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103506.png,CB,RS SO.,Greedy,Williams,24,15,6,27,17,29,14,14,9,34,20,13,23,22,19,7.6,18.56
15,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103525.png,ED,JR.,Brian,Burns,11,17,25,3,38,14,10,27,14,32,14,21,8,37,4,10.9,18.63
16,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103560.png,QB,RS SO.,Dwayne,Haskins,15,19,53,52,8,15,9,21,10,28,10,10,5,26,16,14.4,19.44
17,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103578.png,CB,RS SO.,Byron,Murphy II,20,18,18,12,15,27,24,34,6,13,24,24,16,23,13,7,19.56
18,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103508.png,ED,JR.,Rashan,Gary,13,10,57,39,12,13,31,10,48,23,13,4,21,6,18,15.8,20.13
19,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103569.png,OT,RS SR.,Andre,Dillard,9,37,27,45,10,19,6,24,13,16,18,19,28,20,23,10.1,20.75
