rank,school,headshot,position,college_year,first_name,last_name,team_33rd,br,buzz,cbs,drafttek,espn,nbc,nfl,pff,ringer,tankathon,usa,walter,yahoo,std_dev,avg
1,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004855-4e81-6230-a487-ca19d012c037",CB,JR.,Travis,Hunter,1,1,1,1,1,2,1,3,1,1,1,1,2,2,0.6,1.33
2,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004341-5260-6063-f7d8-00bb3d6b1cd4",ED,JR.,Abdul,Carter,2,2,3,2,2,1,2,2,2,2,2,3,1,4,0.8,2.2
3,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004a45-4142-7291-3a65-da29eaedce27",RB,JR.,Ashton,Jeanty,3,6,2,10,5,5,3,1,5,3,4,2,3,8,2.4,4.33
4,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004752-4121-3591-926c-b22e7bea955e",IDL,JR.,Mason,Graham,6,3,4,5,4,3,6,9,4,6,3,10,12,6,2.9,5.53
5,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004341-4d67-0633-da01-28e834689a13",OT,JR.,Will,Campbell,5,7,8,4,8,19,11,13,6,7,5,12,11,5,4.2,8.33
6,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004a4f-4875-1013-48cf-31d3acf04800",CB,JR.,Will,Johnson,4,5,16,23,18,12,9,7,14,10,12,23,4,1,6.7,11.07
7,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d43-4d51-4957-830f-234e646a998f",WR,JR.,Tetairoa,McMillan,31,8,9,6,12,15,10,24,3,4,11,32,5,12,9.1,12.87
8,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005741-5206-5305-364b-76c1f988f45e",QB,SR.,Cam,Ward,17,9,5,3,3,7,4,25,21,5,10,30,31,14,9.8,13.6
9,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004d45-4d20-7645-15b6-d63a3aafa714",OT,JR.,Armand,Membou,11,10,10,7,7,8,7,8,12,8,6,7,33,66,15.8,13.93
10,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32005741-5271-7637-9a66-3790edc85a60",TE,SR.,Tyler,Warren,16,15,14,26,6,4,8,4,10,12,7,11,26,41,10.2,13.73
11,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005741-4c20-1646-5f5f-33e320ac8536",LB,JR.,Jalon,Walker,19,11,23,9,21,6,5,12,24,9,8,29,24,7,8,14.47
12,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005749-4c45-4914-9119-2392d0f4f0ef",ED,JR.,Mykel,Williams,13,27,17,25,13,9,17,10,38,20,15,28,9,3,10.3,18.73
13,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-4159-2296-384c-e3be1fb506bf",S,JR.,Malaki,Starks,7,4,26,14,16,39,26,46,9,21,20,4,16,11,12.2,18.93
14,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004241-5265-9317-8ee5-6820ac0a9616",CB,SR.,Jahdae,Barron,10,12,12,13,24,11,13,16,7,17,16,8,38,71,16.7,20.2
15,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004c4f-5645-6221-1f26-a303114b69f8",TE,JR.,Colston,Loveland,33,13,24,11,29,10,16,5,26,15,13,17,28,28,8.4,18.87
16,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-draft-headshots/2025/32004241-4e67-3432-7372-ee2dfd2cbf64",OT,JR.,Kelvin,Banks Jr.,25,35,6,8,15,18,14,14,20,18,14,57,15,9,12.7,18.93
17,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32004341-4d39-5656-852f-27b555516592",LB,JR.,Jihaad,Campbell,20,20,34,16,26,17,18,32,11,11,17,6,10,53,12,20.2
18,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/god-prospect-headshots/2023/32005354-4580-1492-6181-fbdcbaa932bc",ED,JR.,Shemar,Stewart,8,19,13,22,11,20,20,19,33,19,18,15,22,61,12.4,21.53
