Name,Role,type,coach_id
Mike Ditka,Linebackers,Worked For,McGiDa0
Jeff Fisher,"Assistant Head Coach, Assistant Head Coach/Linebackers, Linebackers",Worked For,McGiDa0
Mike Munchak,Assistant Head Coach/Linebackers,Worked For,McGiDa0
Vince Tobin,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,McGiDa0
Dave Wannstedt,Linebackers,Worked For,McGiDa0
Hank Kuhlmann,Special Teams,Employed,McGiDa0
Marc Trestman,Offensive Coordinator,Employed,McGiDa0
Dennis Erickson,Quarterbacks,Worked For,OlsoRi0
Dave McGinnis,Offensive Coordinator,Worked For,OlsoRi0
Mike Tice,Quarterbacks,Worked For,OlsoRi0
Norv Turner,Quarterbacks,Worked For,OlsoRi0
Mike Holmgren,Defensive Backs,Worked For,MarmLa0
Mike Martz,Defensive Coordinator,Worked For,MarmLa0
Dave McGinnis,Defensive Coordinator,Worked For,MarmLa0
Lovie Smith,Senior Defensive Assistant,Worked For,MarmLa0
Vince Tobin,"Defensive Backs, Defensive Coordinator",Worked For,MarmLa0
Mike Ditka,Quality Control,Worked For,ChryGe0
John Fox,Tight Ends,Worked For,ChryGe0
Jim Harbaugh,Quarterbacks,Worked For,ChryGe0
Vance Joseph,Tight Ends,Worked For,ChryGe0
Dave McGinnis,Quarterbacks,Worked For,ChryGe0
Doug Pederson,Pro Scout,Worked For,ChryGe0
Mike Riley,Offensive Coordinator,Worked For,ChryGe0
Vince Tobin,"Quarterbacks, Tight Ends",Worked For,ChryGe0
Jim Tomsula,Offensive Coordinator,Worked For,ChryGe0
Dave Wannstedt,Quality Control,Worked For,ChryGe0
Neill Armstrong,Running Backs/Special Teams,Worked For,KuhlHa0
Dan Devine,"Assistant, Special Teams",Worked For,KuhlHa0
Mike Ditka,Running Backs/Special Teams,Worked For,KuhlHa0
Lindy Infante,Special Teams,Worked For,KuhlHa0
Ted Marchibroda,Special Teams,Worked For,KuhlHa0
Dave McGinnis,Special Teams,Worked For,KuhlHa0
Gene Stallings,Running Backs,Worked For,KuhlHa0
Vince Tobin,"Special Teams, Tight Ends",Worked For,KuhlHa0
Richard Williamson,Offensive Coordinator,Worked For,KuhlHa0
Jim Shofner,Offensive Coordinator,Employed,KuhlHa0
Gus Bradley,Wide Receivers,Worked For,SullJe0
Kliff Kingsbury,Offensive Assistant,Worked For,SullJe0
Dave McGinnis,"Offensive Coordinator, Wide Receivers",Worked For,SullJe0
Gary Moeller,Wide Receivers,Worked For,SullJe0
Mike Mularkey,Wide Receivers,Worked For,SullJe0
Mike Nolan,WR/Sr. Asst.,Worked For,SullJe0
Bobby Ross,Wide Receivers,Worked For,SullJe0
Mike Singletary,WR/Sr. Asst.,Worked For,SullJe0
Dave Wannstedt,Wide Receivers,Worked For,SullJe0
Tom Landry,"Offensive Backfield, Offensive Coordinator",Worked For,ReevDa0
Dennis Allen,Defensive Quality Control,Employed,ReevDa0
Raymond Berry,Quarterbacks,Employed,ReevDa0
Rich Brooks,Defensive Coordinator,Employed,ReevDa0
Joe Collier,Defensive Coordinator,Employed,ReevDa0
Rod Dowhower,Offensive Coordinator,Employed,ReevDa0
Chan Gailey,"Offensive Coordinator/Receivers, Quarterbacks, Special Teams/Tight Ends, Tight Ends/Receivers",Employed,ReevDa0
Mike Nolan,"Defensive Coordinator, Special Teams/Linebackers",Employed,ReevDa0
Wade Phillips,"Defensive Coordinator, Defensive Coordinator/Interim HC",Employed,ReevDa0
Mike Shanahan,"Offensive Coordinator, Quarterbacks, Receivers",Employed,ReevDa0
Art Shell,Offensive Line,Employed,ReevDa0
Emmitt Thomas,Secondary,Employed,ReevDa0
Gary Kubiak,Defensive Coordinator,Worked For,PhilWa0
Marv Levy,Defensive Coordinator,Worked For,PhilWa0
Sean McVay,Defensive Coordinator,Worked For,PhilWa0
Bum Phillips,"Defensive Coordinator, Defensive Coordinator/Interim HC, Defensive Line, Linebackers",Worked For,PhilWa0
Dan Reeves,"Defensive Coordinator, Defensive Coordinator/Interim HC",Worked For,PhilWa0
Buddy Ryan,Defensive Coordinator,Worked For,PhilWa0
Marty Schottenheimer,Defensive Coordinator,Worked For,PhilWa0
Dennis Allen,Defensive Quality Control,Employed,PhilWa0
Todd Bowles,Secondary,Employed,PhilWa0
Dave Campo,Secondary,Employed,PhilWa0
Jim Fassel,Offensive Coordinator,Employed,PhilWa0
Jason Garrett,"Assistant Head Coach/Offensive Coordinator, Offensive Coordinator",Employed,PhilWa0
Vance Joseph,Defensive Backs,Employed,PhilWa0
Tony Sparano,Asst. Head Coach/Offensive Line,Employed,PhilWa0
Les Steckel,Tight Ends,Employed,PhilWa0
Emmitt Thomas,Secondary,Employed,PhilWa0
John Fox,Defensive Coordinator,Worked For,AlleDe0
Jim Mora,Defensive Assistant,Worked For,AlleDe0
