season,player_name,pos,school,ht,wt,forty,vertical,bench,broad_jump,cone,shuttle,draft_team,draft_year,draft_year,draft_ovr
2025,BJ Adams,CB,Central Florida,2-Jun,182,4.53,32.5,,117,,,,,,
2025,Tommy Akingbesote,DT,Maryland,4-Jun,306,5.09,28,,103,,,,,,
2025,Darius Alexander,DT,Toledo,4-Jun,305,4.95,31.5,28,111,7.6,4.79,,,,
2025,Zy Alexander,CB,LSU,1-Jun,187,4.56,31.5,,116,,,,,,
2025,LeQuint Allen,RB,Syracuse,Jun-00,204,,35,,120,,,,,,
2025,Trey Amos,CB,Mississippi,1-Jun,195,4.43,32.5,13,126,,,,,,
2025,Andrew Armstrong,WR,Arkansas,4-Jun,202,4.51,37.5,11,124,6.97,4.18,,,,
2025,Elijah Arroyo,TE,Miami,5-Jun,250,,,22,,,,,,,
2025,Eugene Asante,LB,Auburn,1-Jun,223,4.48,,21,,,,,,,
2025,Elic Ayomanor,WR,Stanford,2-Jun,206,4.44,38.5,,127,,,,,,
2025,Elijhah Badger,WR,Florida,1-Jun,200,4.43,35.5,,,,,,,,
2025,Tyler Baron,EDGE,Miami,5-Jun,258,4.62,35.5,19,121,,,,,,
2025,Jahdae Barron,CB,Texas,11-May,194,4.39,35,,123,,,,,,
2025,Gavin Bartholomew,TE,Pittsburgh,5-Jun,246,4.7,,,,,,,,,
2025,Jeffrey Bassa,LB,Oregon,1-Jun,232,4.63,38.5,21,118,7.34,,,,,
2025,Tyler Batty,EDGE,BYU,6-Jun,271,4.78,34,27,120,7.21,4.54,,,,
2025,Jack Bech,WR,TCU,1-Jun,214,,34.5,19,125,6.84,4.21,,,,
2025,Anthony Belton,OT,North Carolina St.,6-Jun,336,5.26,29.5,,107,7.77,,,,,
2025,Zeek Biggers,DT,Georgia Tech,6-Jun,321,5.14,34.5,,111,,,,,,
2025,Yahya Black,DT,Iowa,6-Jun,336,5.39,25.5,,101,7.63,4.72,,,,
2025,Jaydon Blue,RB,Texas,9-May,196,4.38,,,,,,,,,
2025,Isaiah Bond,WR,Texas,11-May,180,4.39,,,,,,,,,
2025,Tyler Booker,G,Alabama,5-Jun,321,5.38,27,,94,7.96,4.84,,,,
2025,Andres Borregales,K,Miami,11-May,199,,,,,,,,,,
2025,Jake Briningstool,TE,Clemson,6-Jun,241,4.75,31,,115,,,,,,
2025,Warren Brinson,DT,Georgia,5-Jun,315,5.09,31,,115,,,,,,
2025,Ja'Corey Brooks,WR,Louisville,2-Jun,184,,,,,,,,,,
2025,Tahj Brooks,RB,Texas Tech,9-May,214,4.52,35,16,120,6.9,4.06,,,,
2025,Max Brosmer,QB,Minnesota,2-Jun,217,,,,,,,,,,
2025,Vernon Broughton,DT,Texas,5-Jun,311,,,,,,,,,,
2025,Logan Brown,OT,Kansas,6-Jun,311,5.18,32,,111,7.75,4.51,,,,
2025,Carson Bruener,LB,Washington,1-Jun,227,4.58,33.5,,119,,,,,,
2025,Jacobee Bryant,CB,Kansas,Jun-00,180,4.53,,,,,,,,,
2025,Pat Bryant,WR,Illinois,2-Jun,204,4.61,37.5,,124,,,,,,
2025,Teddye Buchanan,LB,California,2-Jun,233,4.6,40,26,125,,,,,,
2025,Jordan Burch,EDGE,Oregon,4-Jun,279,4.67,,,,,,,,,
2025,Denzel Burke,CB,Ohio St.,11-May,186,4.48,,,,,,,,,
2025,James Burnip,P,Alabama,6-Jun,235,,,,,,,,,,
2025,Jamaree Caldwell,DT,Oregon,2-Jun,332,5.16,27,,,,,,,,
2025,Jihaad Campbell,LB,Alabama,3-Jun,235,4.52,,,127,,,,,,
2025,Will Campbell,OT,LSU,6-Jun,319,4.98,32,,113,,,,,,
2025,Abdul Carter,EDGE,Penn St.,3-Jun,250,,,,,,,,,,
2025,Barrett Carter,LB,Clemson,Jun-00,231,,34.5,,116,,4.41,,,,
2025,Sebastian Castro,SAF,Iowa,11-May,203,4.59,30.5,,117,,4.34,,,,
