home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_massey_peabody,home_unexpected_points,home_dvoa,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_massey_peabody_rank,home_unexpected_points_rank,home_dvoa_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_massey_peabody,away_unexpected_points,away_dvoa,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_massey_peabody_rank,away_unexpected_points_rank,away_dvoa_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_massey_peabody,rtg_diff_unexpected_points,rtg_diff_dvoa,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_massey_peabody,bet_team_unexpected_points,bet_team_dvoa,bet_team_Composite
PHI,DAL,2025_01_DAL_PHI,2025,1,-8.5,3,4.7,5.4,5,5.2,4.8,4.8,3.3,2,2,3,2,4,6,18,-0.6,-0.7,-0.9,-0.8,0.3,-0.2,-1.5,19,20,18,15,17,24,-6.8,-1.7000000000000002,-7.6000000000000005,-7.4,-7.5,-6,-6.5,-6.3,DAL,DAL,DAL,DAL,DAL,DAL,DAL
LAC,KC,2025_01_KC_LAC,2025,1,+3,12,1.1,2.4,0.9,2.1,0.4,1.8,-1.2,9,10,9,14,11,20,4,4.5,5.1,3.5,5.1,3.8,5.3,4.2,3,5,4,6,3,4,+1.9,1.1,1.1999999999999997,1.1,1.4999999999999996,1.9,2,3.9000000000000004,LAC,LAC,LAC,LAC,LAC,KC,LAC
ATL,TB,2025_01_TB_ATL,2025,1,+2.5,23,-1.7,-2.6,-1,-2.5,-0.9,-2,-1.1,25,21,24,19,23,19,13,0.9,0.6,0.3,1.5,1,1,1,15,14,14,11,14,12,+1.1,1.4,1.7000000000000002,-0.19999999999999996,2.5,0.3999999999999999,1.5,0.6000000000000001,ATL,ATL,ATL,ATL,ATL,ATL,ATL
CLE,CIN,2025_01_CIN_CLE,2025,1,+5.5,29,-4.6,-4.7,-4.5,-5.3,-3.9,-5.3,-3.9,30,28,31,29,31,27,9,1.8,2.5,1.8,1.7,1.1,1.7,1.8,7,8,12,10,12,9,+4.9,0.6000000000000005,5.7,4.8,5.5,3.5,5.5,4.2,CIN,CLE,CLE,CLE,CLE,CLE,CLE
IND,MIA,2025_01_MIA_IND,2025,1,-1.5,26,-2.9,-2.2,-3,-2.8,-2.5,-2.3,-4.5,23,27,27,25,25,29,20,-0.7,-1.3,-0.1,-1.8,2.3,-2.3,-1.3,21,18,22,8,24,22,+0.7,-2.2,-0.5999999999999999,1.4,-0.5000000000000002,3.3,-1.5,1.7000000000000002,MIA,MIA,MIA,MIA,IND,MIA,MIA
JAX,CAR,2025_01_CAR_JAX,2025,1,-3.5,22,-1.5,-1.7,-1.8,-1.9,-1.6,-1.8,-0.2,22,23,23,22,22,17,31,-4.7,-4.3,-5.5,-3.4,-6,-3.3,-6,28,30,28,32,28,32,-4.7,1.2000000000000002,-4.1,-5.2,-3,-5.9,-3,-7.3,JAX,JAX,CAR,JAX,CAR,JAX,JAX
NE,LV,2025_01_LV_NE,2025,1,-2.5,25,-2.3,-2.9,-3,-1.7,-2.5,-1.4,-2.3,26,26,21,24,21,25,24,-2.1,-2.3,-2.3,-2.7,-1.7,-2.9,-0.8,24,24,26,23,27,18,-1.3,-1.1999999999999997,-0.8999999999999999,-0.7999999999999998,-2.5,-0.7,-3,-2.220446049250313e-16,LV,LV,NE,LV,NE,LV,LV
NO,ARI,2025_01_ARI_NO,2025,1,+6.5,32,-5.7,-5.5,-5.9,-7.3,-4.8,-6.9,-4.1,32,32,32,31,32,28,16,0.2,-0.7,0.3,0.7,-0.3,0.6,0.6,18,13,15,17,16,13,+4.4,2.0999999999999996,3.3,4.7,6.5,3,6,3.1999999999999993,NO,NO,NO,NO,NO,NO,NO
NYJ,PIT,2025_01_PIT_NYJ,2025,1,+3,28,-4.2,-4.5,-2.9,-5.1,-3,-5.1,-4.9,29,25,30,28,30,31,17,-0.5,0.4,0.3,-0.6,-1.1,-0.6,-1.2,16,15,17,21,18,21,+2.2,0.7999999999999998,3.4000000000000004,1.6999999999999997,3,0.3999999999999999,3,2.2,PIT,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ
WAS,NYG,2025_01_NYG_WAS,2025,1,-5.5,8,2.2,2.4,1.9,2,0.9,2,3.7,8,7,10,12,9,5,27,-3.1,-3.5,-4.6,-2.5,-2.7,-2.5,-2.8,27,29,25,27,26,26,-6.8,1.3000000000000007,-7.4,-8,-6,-5.1,-6,-8,WAS,WAS,WAS,NYG,WAS,WAS,WAS
DEN,TEN,2025_01_TEN_DEN,2025,1,-8.5,10,1.7,1.6,1.8,2.1,1.6,2.1,1.2,11,9,8,9,8,11,30,-4.6,-4.8,-5.7,-3.9,-4.7,-3.9,-4.7,31,31,29,30,29,30,-7.8,-0.7000000000000002,-7.9,-9,-7.5,-7.800000000000001,-7.5,-7.4,TEN,DEN,TEN,TEN,TEN,TEN,TEN
SEA,SF,2025_01_SF_SEA,2025,1,+2.5,19,-0.7,-1.2,0,-1.4,0.7,-1.3,-1.3,20,16,20,13,20,23,7,2.6,1.8,0.9,2.6,4.7,2.7,2.9,10,11,7,3,7,7,+1.8,0.7000000000000002,1.5,-0.6,2.5,2.5,2.5,2.7,SEA,SEA,SEA,SEA,SEA,SF,SEA
GB,DET,2025_01_DET_GB,2025,1,-2.5,6,3,3.1,2.3,3.9,3.1,3.2,2.5,6,6,5,7,6,8,5,4.2,4.6,4.8,2.9,4.6,3.2,4.8,4,3,6,4,5,3,-0.3,-2.2,-4.440892098500626e-16,1,-2.5,-4.440892098500626e-16,-1.5,0.7999999999999998,DET,DET,GB,DET,DET,DET,DET
LA,HOU,2025_01_HOU_LA,2025,1,-2.5,11,1.2,1.5,0.8,1.6,0.1,1.7,1.8,12,12,13,16,13,10,15,0.2,0.8,-0,0.6,-0.9,0.7,-0.1,14,17,16,20,15,16,-2.5,0,-2.2,-2.3,-2.5,-2.5,-2.5,-3.4000000000000004,HOU,HOU,LA,LA,LA,LA,LA
BUF,BAL,2025_01_BAL_BUF,2025,1,-1.5,2,4.8,4.3,4.6,5.3,4.1,5.3,5.4,5,4,2,5,2,2,1,6,5.4,6.7,5.3,6.4,5.3,6.8,1,1,1,1,1,1,-0.3,-1.2000000000000002,-0.39999999999999947,0.6000000000000005,-1.5,0.8000000000000007,-1.5,-0.10000000000000053,BAL,BAL,BUF,BAL,BUF,BAL,BAL
CHI,MIN,2025_01_MIN_CHI,2025,1,+1.5,21,-0.9,0.2,-1.2,-1.1,-2.6,-1.2,0.3,17,22,19,26,19,14,14,0.7,1,-0.1,1.9,-0.5,1.8,0.2,13,19,11,18,10,15,+0.1,1.4,-0.7,-0.40000000000000013,1.5,0.6000000000000001,1.5,-1.6,CHI,CHI,CHI,CHI,CHI,CHI,CHI
