home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
DEN,LV,2025_10_LV_DEN,2025,10,-9.5,10,3,2.9,2.8,2.7,3,2.9,3.6,10,9,10,10,10,8,28,-4.9,-5,-5.1,-5.2,-7.3,-3.2,-3.3,28,30,28,30,26,25,-9.4,-0.09999999999999964,-9.4,-9.399999999999999,-9.4,-11.8,-7.6,-8.4,LV,LV,LV,DEN,LV,LV,LV
IND,ATL,2025_10_ATL_IND,2025,10,-6.5,9,4,5,2.2,3.7,5,6.7,1.5,2,10,9,7,3,12,22,-1.9,-3.2,-1.7,-2.5,-1.2,-0.8,-2,24,20,22,21,20,20,-5.9,-0.5999999999999996,-8.2,-3.9000000000000004,-6.2,-6.2,-7.5,-3.5,IND,ATL,ATL,ATL,IND,ATL,ATL
CAR,NO,2025_10_NO_CAR,2025,10,-5.5,26,-4.3,-4,-4.2,-4.3,-5.9,-5,-2.4,27,25,24,28,28,21,31,-8.1,-9,-7.6,-7.5,-6.3,-7.5,-10.7,30,31,30,29,31,32,-5.3,-0.20000000000000018,-6.5,-4.8999999999999995,-4.7,-1.8999999999999995,-4,-9.799999999999999,CAR,NO,NO,NO,NO,CAR,NO
CHI,NYG,2025_10_NYG_CHI,2025,10,-3.5,18,-0.7,-1.8,-0.1,-1.5,1.1,-1.6,-0.3,20,18,21,14,22,17,23,-3.1,-0.2,-4.8,-3.5,-3,-3.1,-4.1,16,28,23,23,25,26,-3.9,0.40000000000000036,0.10000000000000009,-6.2,-3.5,-5.6,-3,-5.3,NYG,CHI,CHI,CHI,NYG,CHI,CHI
HOU,JAX,2025_10_JAX_HOU,2025,10,-1.5,16,-0.1,-2.7,0.8,0.4,1,1.7,-1.8,22,12,15,15,12,19,19,-0.9,-1.2,-2.4,-0.3,0.2,-0.6,-1.1,19,22,18,17,19,18,-2.3,0.7999999999999998,2.220446049250313e-16,-4.7,-2.2,-2.3,-3.8,-0.8,JAX,HOU,HOU,HOU,HOU,JAX,HOU
MIA,BUF,2025_10_BUF_MIA,2025,10,+9.5,27,-4.7,-4,-5.1,-5.7,-3.8,-4.9,-4.5,26,29,29,24,27,28,3,5.6,4.8,4.7,5.1,5.9,6.5,6.6,4,4,5,2,6,1,+8.8,0.6999999999999993,7.300000000000001,8.3,9.3,8.2,9.9,9.6,MIA,MIA,MIA,MIA,BUF,BUF,MIA
MIN,BAL,2025_10_BAL_MIN,2025,10,+3.5,20,-1.1,-2.4,-1,-0.2,-1.5,-2.3,1.1,21,19,17,22,23,13,6,4.6,3.9,4.1,4.7,5,4.6,5.1,8,7,7,6,7,5,+4.2,-0.6999999999999993,4.8,3.5999999999999996,3.4000000000000004,5,5.3999999999999995,2.4999999999999996,BAL,BAL,MIN,BAL,BAL,MIN,BAL
NYJ,CLE,2025_10_CLE_NYJ,2025,10,+2.5,30,-6.7,-6.2,-4.3,-8.7,-7.5,-7,-6.2,29,26,31,31,30,30,29,-6,-10.8,-4.5,-4.7,-3.9,-5.9,-6,32,27,25,25,29,29,-0.8,3.3,-6.1000000000000005,-1.7000000000000002,2.499999999999999,2.1,-0.40000000000000036,-1.2999999999999998,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ,NYJ
TB,NE,2025_10_NE_TB,2025,10,-2.5,13,1.1,0.8,0.8,0.8,1.9,0.4,1.9,13,13,13,12,14,11,14,0.6,0.1,0.1,0.1,2.3,1,0.2,14,16,16,11,13,16,-2,-0.5,-2.2,-2.2,-2.2,-1.1,-0.9,-3.2,NE,NE,NE,NE,NE,TB,NE
SEA,ARI,2025_10_ARI_SEA,2025,10,-6.5,7,4.4,2.9,4.3,3.9,4.2,7.8,3.1,11,5,8,8,1,9,21,-1.5,-1.1,-3.2,-1.3,-0.6,-0.5,-2.5,18,24,20,19,16,22,-7.4,0.9000000000000004,-5.5,-9,-6.7,-6.3,-9.8,-7.1,ARI,SEA,SEA,ARI,SEA,SEA,SEA
