home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_pg,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,home_pg_rank,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_pg,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,away_pg_rank,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
DET,DAL,2025_14_DAL_DET,2025,14,-3,5,4.8,4.5,5.1,3.9,4.3,6.4,4.8,3,4,4,7,6,4,6,9,14,1.2,1.2,1.2,1.6,1.8,0.6,0.6,1.7,13,13,13,13,15,17,14,-5.1,2.0999999999999996,-4.8,-5.3999999999999995,-3.8,-4,-7.300000000000001,-5.7,DET,DET,DET,DET,DET,DET,DET
ATL,SEA,2025_14_SEA_ATL,2025,14,+7,22,-2.8,-2.9,-0.6,-4.2,-2.7,-3.7,-2.7,-4,24,19,26,23,25,23,24,2,5.5,4,5.6,4.9,4.5,8.9,5,5.7,6,2,2,5,2,5,2,+6.8,0.1999999999999993,5.4,4.699999999999999,7.600000000000001,5.7,11.100000000000001,6.2,ATL,ATL,SEA,ATL,SEA,ATL,ATL
BAL,PIT,2025_14_PIT_BAL,2025,14,-6,10,2.7,3.1,2.5,3.5,2.4,1.2,3.7,3,10,9,8,10,14,9,10,20,-0.9,-1.4,-0.4,-1.1,-2.2,0.1,-0.1,-0.7,20,18,20,21,16,20,20,-5.1,-0.9000000000000004,-6,-4.4,-6.1,-6.1,-2.5999999999999996,-5.300000000000001,BAL,PIT,BAL,BAL,PIT,PIT,PIT
BUF,CIN,2025_14_CIN_BUF,2025,14,-5.5,6,4.6,4,5,4.4,4.9,3.7,5.4,4,7,5,6,3,7,4,6,19,-0.6,0.6,-2.1,-0.6,-0.7,-1.1,0.5,0,16,21,19,19,20,18,18,-6.7,1.1999999999999993,-4.9,-8.6,-6.5,-7.1000000000000005,-6.300000000000001,-6.4,CIN,BUF,BUF,BUF,BUF,BUF,BUF
CLE,TEN,2025_14_TEN_CLE,2025,14,-4.5,29,-6.5,-10.2,-4.9,-5.7,-4.6,-8.2,-5.7,-5.9,32,27,28,29,30,28,28,32,-8.9,-9.4,-8.2,-8.4,-9,-9.1,-9.4,-8.3,31,32,32,32,32,32,32,-3.9,-0.5999999999999996,-0.7000000000000011,-4.799999999999999,-4.2,-5.9,-2.4000000000000004,-5.2,TEN,CLE,TEN,CLE,TEN,CLE,TEN
JAX,IND,2025_14_IND_JAX,2025,14,+1.5,15,0.8,0.7,0,0.5,1.2,1.3,1.1,1.3,15,16,16,16,13,15,15,7,3.6,4.3,2.7,3.1,4.1,6.6,1,4,5,8,9,8,3,16,7,+1.3,0.20000000000000018,2.0999999999999996,1.2000000000000002,1.1,1.3999999999999995,3.8,-1.6,IND,JAX,JAX,JAX,IND,JAX,JAX
MIN,WAS,2025_14_WAS_MIN,2025,14,-1.5,25,-3.4,-4.2,-3.1,-3.7,-4.5,-3.7,-1.3,-4.5,27,22,24,28,26,21,26,24,-3.2,-2.2,-3.4,-3.9,-3.5,-3,-3.5,-2.5,23,23,25,25,24,25,22,-1.3,-0.19999999999999973,0.5,-1.7999999999999998,-1.6999999999999997,-0.5,-0.7999999999999998,-3.7,WAS,MIN,MIN,WAS,WAS,MIN,WAS
NYJ,MIA,2025_14_MIA_NYJ,2025,14,+2.5,28,-6,-6.5,-5.1,-7.6,-5.6,-3.7,-7.6,-7.5,29,29,31,30,27,30,31,23,-2.8,-3.4,-4.2,-3.2,-2.5,-1.8,-1.8,-3.4,25,26,22,22,22,22,23,+1.7,0.7999999999999998,1.6,-0.6000000000000005,2.8999999999999995,1.5999999999999996,0.40000000000000013,4.3,NYJ,NYJ,MIA,NYJ,NYJ,MIA,NYJ
TB,NO,2025_14_NO_TB,2025,14,-8.5,18,-0.2,-0.1,-0.9,0.1,-0.4,-0.4,0.3,0.5,17,20,17,18,19,19,16,31,-7.1,-8.3,-6.5,-6.9,-4.2,-7.2,-9.3,-6.9,30,30,30,27,29,31,30,-8.4,-0.10000000000000142,-9.700000000000001,-7.1,-8.5,-5.300000000000001,-8.3,-11.100000000000001,TB,NO,TB,NO,NO,TB,NO
LV,DEN,2025_14_DEN_LV,2025,14,+7.5,30,-7,-6.5,-6.7,-6.3,-8.2,-8.5,-5.8,-6.5,28,31,29,31,31,29,29,9,2.8,2.6,2.2,2.1,2.3,3.6,4,2.9,12,10,12,12,8,8,11,+8.3,-0.8000000000000007,7.6,7.4,6.9,9,10.6,8.3,DEN,LV,LV,DEN,DEN,DEN,DEN
