home_team,away_team,game_id,season,week,spread_line,home_Composite_rank,home_Composite,home_FPI,home_nfelo,home_GPF,home_unexpected_points,home_dvoa,home_PFF,home_FPI_rank,home_nfelo_rank,home_GPF_rank,home_unexpected_points_rank,home_dvoa_rank,home_pff_rank,home_week,away_Composite_rank,away_Composite,away_FPI,away_nfelo,away_GPF,away_unexpected_points,away_dvoa,away_PFF,away_FPI_rank,away_nfelo_rank,away_GPF_rank,away_unexpected_points_rank,away_dvoa_rank,away_pff_rank,away_week,rtg_diff_Composite,spread_diff_Composite,rtg_diff_FPI,rtg_diff_nfelo,rtg_diff_GPF,rtg_diff_unexpected_points,rtg_diff_dvoa,rtg_diff_PFF,bet_team_FPI,bet_team_nfelo,bet_team_GPF,bet_team_unexpected_points,bet_team_dvoa,bet_team_PFF,bet_team_Composite
CIN,PIT,2025_07_PIT_CIN,2025,7,+5.5,31,-5.9,-6.5,-4.1,-5.6,-8.1,-6.4,-4.8,31,27,29,31,31,28,7,14,0.7,0.7,0.8,1.2,0.1,0.9,0.8,18,14,14,19,14,17,7,+5.1,0.39999999999999947,5.7,3.3999999999999995,5.3,6.699999999999999,5.800000000000001,4.1,PIT,CIN,CIN,PIT,PIT,CIN,CIN
JAX,LA,2025_07_LA_JAX,2025,7,+3,21,-0.2,-0.2,-1.3,0.1,-0.2,0.4,-0.1,20,21,18,21,16,19,7,5,4.4,3.1,4.6,3.5,5,5.3,4.7,7,4,6,4,4,5,7,+4.6,-1.6000000000000005,3.3000000000000003,5.8999999999999995,3.4,5.2,4.8999999999999995,4.8,LA,LA,LA,LA,LA,LA,LA
CHI,NO,2025_07_NO_CHI,2025,7,-4.5,22,-0.8,-1.2,-0.7,-1.8,0.1,-0.8,-0.6,22,19,21,20,21,20,7,30,-5.8,-6.3,-5.7,-5.8,-3.4,-5.4,-8,30,30,30,25,29,32,7,-6.5,2,-6.6,-6.5,-5.5,-5,-6.1000000000000005,-8.9,CHI,CHI,CHI,CHI,CHI,CHI,CHI
CLE,MIA,2025_07_MIA_CLE,2025,7,-2.5,28,-5.4,-5.9,-6.1,-4.2,-3.4,-5.7,-6.9,28,31,25,24,30,30,7,25,-3.8,-3.4,-2.9,-4.5,-4,-3.4,-4.3,25,24,27,26,25,27,7,+0.1,-2.6000000000000005,1.0000000000000004,1.6999999999999997,-1.7999999999999998,-2.1,0.8000000000000003,1.1000000000000005,MIA,MIA,MIA,MIA,MIA,MIA,MIA
KC,LV,2025_07_LV_KC,2025,7,-13.5,1,5.8,6.7,5.2,5.2,5.5,6.1,6,1,2,2,1,2,1,7,26,-4.2,-3.9,-4.1,-4.5,-5.7,-4,-3.1,26,26,28,28,26,25,7,-11.5,-2,-12.1,-10.8,-11.2,-12.7,-11.6,-10.6,LV,LV,LV,LV,LV,LV,LV
MIN,PHI,2025_07_PHI_MIN,2025,7,+2.5,16,0.5,0.9,0,0.8,0.6,-0.9,1.6,17,17,15,18,22,15,7,6,3.2,3.5,3.2,3.6,3.2,2.4,3.6,4,7,5,7,10,6,7,+1.2,1.2999999999999998,1.1,1.7000000000000002,1.2999999999999998,1.1,1.7999999999999998,0.5,MIN,MIN,MIN,MIN,MIN,MIN,MIN
NYJ,CAR,2025_07_CAR_NYJ,2025,7,-1.5,29,-5.8,-5.9,-3.3,-6.3,-8,-5.2,-6.4,29,25,31,30,28,29,7,27,-4.3,-3.9,-4.8,-4.3,-5,-5,-2.7,27,28,26,27,27,24,7,0,-1.5,0.5000000000000004,-3,0.5,1.5,-1.2999999999999998,2.2,CAR,NYJ,CAR,CAR,CAR,CAR,CAR
TEN,NE,2025_07_NE_TEN,2025,7,+6.5,32,-7.9,-8.5,-7.5,-7.5,-8.4,-8.4,-7.2,32,32,32,32,32,31,7,18,0,-0.2,-0.7,0.6,2.3,-0.6,-1.4,19,18,16,12,20,21,7,+6.4,0.09999999999999964,6.800000000000001,5.3,6.6,9.2,6.300000000000001,4.300000000000001,NE,TEN,NE,NE,TEN,TEN,TEN
DEN,NYG,2025_07_NYG_DEN,2025,7,-7.5,10,2.3,2,2.6,2,2.7,1.9,2.4,9,9,11,8,12,10,7,24,-3.3,-2.1,-5,-3.2,-2.9,-3.3,-3.3,24,29,24,23,24,26,7,-7.1,-0.40000000000000036,-5.6,-9.1,-6.7,-7.1,-6.699999999999999,-7.199999999999999,NYG,DEN,NYG,NYG,NYG,NYG,NYG
LAC,IND,2025_07_IND_LAC,2025,7,-2.5,13,1.4,1.6,1.2,2.1,1.6,0.1,2,14,12,10,16,17,11,7,9,2.5,3.1,0.9,2.4,4.5,3.2,1,8,13,8,6,8,16,7,-0.4,-2.1,0,-1.7999999999999998,-1.2000000000000002,1.4,1.6,-2.5,IND,IND,IND,IND,IND,LAC,IND
ARI,GB,2025_07_GB_ARI,2025,7,+7,23,-1.3,-1.5,-1.6,-2,-0.4,-0.5,-1.8,23,22,23,22,19,22,7,3,4.6,4.5,3.9,5.8,4.6,3.5,5.5,3,5,1,5,7,2,7,+4.4,2.6000000000000005,4.5,4,6.3,3.5,2.5,5.8,ARI,ARI,ARI,ARI,ARI,ARI,ARI
DAL,WAS,2025_07_WAS_DAL,2025,7,-1.5,19,-0.1,1.1,0,-1.9,1.8,0.6,-2.4,16,16,22,14,15,23,7,7,2.8,3.4,2,2.1,2.3,4.2,2.6,5,10,9,11,6,8,7,+1.4,-2.9,0.7999999999999998,0.5,2.5,-1.0000000000000002,2.1,3.5,WAS,WAS,WAS,WAS,WAS,WAS,WAS
SF,ATL,2025_07_ATL_SF,2025,7,-1.5,15,0.6,1.9,-0.8,0.1,1.7,-1,1.7,13,20,17,15,23,14,7,17,0.2,-1,0.2,-0.5,2.3,-0.3,0.8,21,15,19,13,18,18,7,-1.9,0.3999999999999999,-4.4,-0.5,-2.1,-0.9000000000000001,-0.8,-2.4,SF,ATL,SF,ATL,ATL,SF,SF
DET,TB,2025_07_TB_DET,2025,7,-6,2,5.5,5.2,5.4,5,5.5,7.3,4.7,2,1,3,2,1,4,7,11,2,1.9,1.8,1.3,2.7,2,2.4,11,11,12,9,11,9,7,-5,-1,-4.800000000000001,-5.1000000000000005,-5.2,-4.3,-6.8,-3.8000000000000003,TB,TB,TB,TB,DET,TB,TB
SEA,HOU,2025_07_HOU_SEA,2025,7,-3,8,2.8,1.1,3.2,2.6,2.5,5.5,1.8,15,8,7,10,3,12,7,12,1.9,1.9,3.4,1.2,1.3,1.7,1.7,12,6,13,17,13,13,7,-2.4,-0.6000000000000001,-0.7000000000000002,-1.3000000000000003,-2.9000000000000004,-2.7,-5.3,-1.6,HOU,HOU,HOU,HOU,SEA,HOU,HOU
