Composite_rank,Team,Team Name,Composite,FPI,nfelo,GPF,massey_peabody,unexpected_points,dvoa,FPI_rank,nfelo_rank,GPF_rank,massey_peabody_rank,unexpected_points_rank,dvoa_rank,Std Dev,week
1,BAL,Baltimore Ravens,6,5.4,6.7,5.3,6.4,5.3,6.8,1,1,1,1,1,1,0.7,1
2,BUF,Buffalo Bills,4.8,4.3,4.6,5.3,4.1,5.3,5.4,5,4,2,5,2,2,0.6,1
3,PHI,Philadelphia Eagles,4.7,5.4,5,5.2,4.8,4.8,3.3,2,2,3,2,4,6,0.7,1
4,KC,Kansas City Chiefs,4.5,5.1,3.5,5.1,3.8,5.3,4.2,3,5,4,6,3,4,0.8,1
5,DET,Detroit Lions,4.2,4.6,4.8,2.9,4.6,3.2,4.8,4,3,6,4,5,3,0.9,1
6,GB,Green Bay Packers,3,3.1,2.3,3.9,3.1,3.2,2.5,6,6,5,7,6,8,0.6,1
7,SF,San Francisco 49ers,2.6,1.8,0.9,2.6,4.7,2.7,2.9,10,11,7,3,7,7,1.3,1
8,WAS,Washington Commanders,2.2,2.4,1.9,2,0.9,2,3.7,8,7,10,12,9,5,0.9,1
9,CIN,Cincinnati Bengals,1.8,2.5,1.8,1.7,1.1,1.7,1.8,7,8,12,10,12,9,0.4,1
10,DEN,Denver Broncos,1.7,1.6,1.8,2.1,1.6,2.1,1.2,11,9,8,9,8,11,0.3,1
11,LA,Los Angeles Rams,1.2,1.5,0.8,1.6,0.1,1.7,1.8,12,12,13,16,13,10,0.7,1
12,LAC,Los Angeles Chargers,1.1,2.4,0.9,2.1,0.4,1.8,-1.2,9,10,9,14,11,20,1.3,1
13,TB,Tampa Bay Buccaneers,0.9,0.6,0.3,1.5,1,1,1,15,14,14,11,14,12,0.4,1
14,MIN,Minnesota Vikings,0.7,1,-0.1,1.9,-0.5,1.8,0.2,13,19,11,18,10,15,1,1
15,HOU,Houston Texans,0.2,0.8,-0,0.6,-0.9,0.7,-0.1,14,17,16,20,15,16,0.6,1
16,ARI,Arizona Cardinals,0.2,-0.7,0.3,0.7,-0.3,0.6,0.6,18,13,15,17,16,13,0.6,1
17,PIT,Pittsburgh Steelers,-0.5,0.4,0.3,-0.6,-1.1,-0.6,-1.2,16,15,17,21,18,21,0.7,1
18,DAL,Dallas Cowboys,-0.6,-0.7,-0.9,-0.8,0.3,-0.2,-1.5,19,20,18,15,17,24,0.6,1
19,SEA,Seattle Seahawks,-0.7,-1.2,0,-1.4,0.7,-1.3,-1.3,20,16,20,13,20,23,0.9,1
20,MIA,Miami Dolphins,-0.7,-1.3,-0.1,-1.8,2.3,-2.3,-1.3,21,18,22,8,24,22,1.7,1
21,CHI,Chicago Bears,-0.9,0.2,-1.2,-1.1,-2.6,-1.2,0.3,17,22,19,26,19,14,1.1,1
22,JAX,Jacksonville Jaguars,-1.5,-1.7,-1.8,-1.9,-1.6,-1.8,-0.2,22,23,23,22,22,17,0.6,1
23,ATL,Atlanta Falcons,-1.7,-2.6,-1,-2.5,-0.9,-2,-1.1,25,21,24,19,23,19,0.8,1
24,LV,Las Vegas Raiders,-2.1,-2.3,-2.3,-2.7,-1.7,-2.9,-0.8,24,24,26,23,27,18,0.8,1
25,NE,New England Patriots,-2.3,-2.9,-3,-1.7,-2.5,-1.4,-2.3,26,26,21,24,21,25,0.6,1
26,IND,Indianapolis Colts,-2.9,-2.2,-3,-2.8,-2.5,-2.3,-4.5,23,27,27,25,25,29,0.8,1
27,NYG,New York Giants,-3.1,-3.5,-4.6,-2.5,-2.7,-2.5,-2.8,27,29,25,27,26,26,0.8,1
28,NYJ,New York Jets,-4.2,-4.5,-2.9,-5.1,-3,-5.1,-4.9,29,25,30,28,30,31,1,1
29,CLE,Cleveland Browns,-4.6,-4.7,-4.5,-5.3,-3.9,-5.3,-3.9,30,28,31,29,31,27,0.6,1
30,TEN,Tennessee Titans,-4.6,-4.8,-5.7,-3.9,-4.7,-3.9,-4.7,31,31,29,30,29,30,0.7,1
31,CAR,Carolina Panthers,-4.7,-4.3,-5.5,-3.4,-6,-3.3,-6,28,30,28,32,28,32,1.3,1
32,NO,New Orleans Saints,-5.7,-5.5,-5.9,-7.3,-4.8,-6.9,-4.1,32,32,32,31,32,28,1.2,1
