Composite_rank,Team,Team Name,Composite,FPI,nfelo,Inpredictable,Unexpected Points,DVOA,PFF,FPI_rank,nfelo_rank,GPF_rank,unexpected_points_rank,dvoa_rank,pff_rank,Std Dev,week
1,KC,Kansas City Chiefs,5.8,6.7,5.2,5.2,5.5,6.1,6,1,2,2,1,2,1,0.6,7
2,DET,Detroit Lions,5.5,5.2,5.4,5,5.5,7.3,4.7,2,1,3,2,1,4,0.9,7
3,GB,Los Angeles Rams,4.6,4.5,3.9,5.8,4.6,3.5,5.5,3,5,1,5,7,2,0.9,7
4,BUF,Green Bay Packers,4.5,3.2,4.9,4.2,5.1,4.7,4.8,6,3,4,3,5,3,0.7,7
5,LA,Buffalo Bills,4.4,3.1,4.6,3.5,5,5.3,4.7,7,4,6,4,4,5,0.9,7
6,PHI,Philadelphia Eagles,3.2,3.5,3.2,3.6,3.2,2.4,3.6,4,7,5,7,10,6,0.5,7
7,WAS,Indianapolis Colts,2.8,3.4,2,2.1,2.3,4.2,2.6,5,10,9,11,6,8,0.9,7
8,SEA,Baltimore Ravens,2.8,1.1,3.2,2.6,2.5,5.5,1.8,15,8,7,10,3,12,1.5,7
9,IND,Seattle Seahawks,2.5,3.1,0.9,2.4,4.5,3.2,1,8,13,8,6,8,16,1.4,7
10,DEN,Denver Broncos,2.3,2,2.6,2,2.7,1.9,2.4,9,9,11,8,12,10,0.3,7
11,TB,San Francisco 49ers,2,1.9,1.8,1.3,2.7,2,2.4,11,11,12,9,11,9,0.5,7
12,HOU,Tampa Bay Buccaneers,1.9,1.9,3.4,1.2,1.3,1.7,1.7,12,6,13,17,13,13,0.8,7
13,LAC,Washington Commanders,1.4,1.6,1.2,2.1,1.6,0.1,2,14,12,10,16,17,11,0.7,7
14,PIT,Dallas Cowboys,0.7,0.7,0.8,1.2,0.1,0.9,0.8,18,14,14,19,14,17,0.4,7
15,SF,Los Angeles Chargers,0.6,1.9,-0.8,0.1,1.7,-1,1.7,13,20,17,15,23,14,1.3,7
16,MIN,Pittsburgh Steelers,0.5,0.9,0,0.8,0.6,-0.9,1.6,17,17,15,18,22,15,0.9,7
17,ATL,Houston Texans,0.2,-1,0.2,-0.5,2.3,-0.3,0.8,21,15,19,13,18,18,1.2,7
18,NE,New England Patriots,0,-0.2,-0.7,0.6,2.3,-0.6,-1.4,19,18,16,12,20,21,1.3,7
19,DAL,Minnesota Vikings,-0.1,1.1,0,-1.9,1.8,0.6,-2.4,16,16,22,14,15,23,1.7,7
20,BAL,Atlanta Falcons,-0.2,2,-1.8,-1.1,-5.8,3,2.8,10,23,20,29,9,7,3.4,7
21,JAX,Chicago Bears,-0.2,-0.2,-1.3,0.1,-0.2,0.4,-0.1,20,21,18,21,16,19,0.6,7
22,CHI,Jacksonville Jaguars,-0.8,-1.2,-0.7,-1.8,0.1,-0.8,-0.6,22,19,21,20,21,20,0.6,7
23,ARI,Arizona Cardinals,-1.3,-1.5,-1.6,-2,-0.4,-0.5,-1.8,23,22,23,22,19,22,0.7,7
24,NYG,New York Giants,-3.3,-2.1,-5,-3.2,-2.9,-3.3,-3.3,24,29,24,23,24,26,0.9,7
25,MIA,Carolina Panthers,-3.8,-3.4,-2.9,-4.5,-4,-3.4,-4.3,25,24,27,26,25,27,0.6,7
26,LV,Cincinnati Bengals,-4.2,-3.9,-4.1,-4.5,-5.7,-4,-3.1,26,26,28,28,26,25,0.9,7
27,CAR,Cleveland Browns,-4.3,-3.9,-4.8,-4.3,-5,-5,-2.7,27,28,26,27,27,24,0.9,7
28,CLE,Las Vegas Raiders,-5.4,-5.9,-6.1,-4.2,-3.4,-5.7,-6.9,28,31,25,24,30,30,1.3,7
29,NYJ,Miami Dolphins,-5.8,-5.9,-3.3,-6.3,-8,-5.2,-6.4,29,25,31,30,28,29,1.6,7
30,NO,New Orleans Saints,-5.8,-6.3,-5.7,-5.8,-3.4,-5.4,-8,30,30,30,25,29,32,1.5,7
31,CIN,New York Jets,-5.9,-6.5,-4.1,-5.6,-8.1,-6.4,-4.8,31,27,29,31,31,28,1.4,7
32,TEN,Tennessee Titans,-7.9,-8.5,-7.5,-7.5,-8.4,-8.4,-7.2,32,32,32,32,32,31,0.6,7
