ovr_pick,jimmy_johnson,fitzgerald_spielberger,rich_hill,baldwin
1,3000,3000,1000,64
2,2600,2649,717,67
3,2200,2443,514,68
4,1800,2297,491,69
5,1700,2184,468,73
6,1600,2092,446,82
7,1500,2014,426,89
8,1400,1946,406,96
9,1350,1887,387,94
10,1300,1833,369,95
11,1250,1785,358,97
12,1200,1741,347,100
13,1150,1700,336,99
14,1100,1663,325,100
15,1050,1628,315,98
16,1000,1595,305,99
17,950,1564,296,98
18,900,1535,287,97
19,875,1508,278,96
20,850,1482,269,94
21,800,1457,261,93
22,780,1434,253,91
23,760,1411,245,90
24,740,1389,237,89
25,720,1369,230,88
26,700,1349,223,86
27,680,1330,216,85
28,660,1311,209,84
29,640,1294,202,84
30,620,1276,196,83
31,600,1260,190,82
32,590,1244,184,81
33,580,1228,180,86
34,560,1213,175,84
35,550,1198,170,83
36,540,1184,166,82
37,530,1170,162,81
38,520,1157,157,79
39,510,1143,153,78
40,500,1131,149,77
41,490,1118,146,76
42,480,1106,142,75
43,470,1094,138,74
44,460,1082,135,73
45,450,1071,131,72
46,440,1060,128,71
47,430,1049,124,70
48,420,1038,121,70
49,410,1028,118,69
50,400,1018,115,68
51,390,1007,112,67
52,380,998,109,66
53,370,988,106,65
54,360,979,104,65
55,350,969,101,64
56,340,960,98,63
57,330,951,96,62
58,320,942,93,61
59,310,934,91,60
60,300,925,88,59
61,292,917,86,58
62,284,909,84,57
63,276,900,82,56
64,270,892,80,55
65,265,885,78,55
66,260,877,76,54
67,255,869,75,53
68,250,862,73,52
69,245,854,71,51
70,240,847,70,50
71,235,840,68,50
72,230,833,67,49
73,225,826,65,48
74,220,819,64,47
75,215,812,63,47
76,210,805,61,46
77,205,799,60,45
78,200,792,59,45
79,195,786,57,44
80,190,779,56,44
81,185,773,55,43
82,180,767,54,42
83,175,761,52,42
84,170,755,51,41
85,165,749,50,41
86,160,743,49,40
87,155,737,48,40
88,150,731,47,39
89,145,725,46,39
90,140,720,45,38
91,136,714,44,38
92,132,709,43,37
93,128,703,42,37
94,124,698,41,36
95,120,692,40,36
96,116,687,39,35
97,112,682,38,35
98,108,676,37,34
99,104,671,36,33
100,100,666,35,33
101,96,661,34,32
102,92,656,34,32
103,88,651,33,31
104,86,646,33,31
105,84,642,32,32
106,82,637,32,31
107,80,632,31,31
108,78,627,30,30
109,76,623,30,30
110,74,618,29,30
111,72,613,28,29
112,70,609,28,29
113,68,604,27,28
114,66,600,26,28
115,64,595,26,28
116,62,591,25,27
117,60,587,25,27
118,58,582,24,26
119,56,578,24,26
120,54,574,23,26
121,52,570,23,25
122,50,565,22,25
123,49,561,21,25
124,48,557,21,24
125,47,553,20,24
126,46,549,20,24
127,45,545,19,23
128,44,541,19,23
129,43,537,18,22
130,42,533,18,22
131,41,529,18,22
132,40,526,17,21
133,40,522,17,21
134,39,518,17,21
135,39,514,16,21
136,38,510,16,20
137,38,507,16,20
138,37,503,15,20
139,37,499,15,20
140,36,496,15,20
141,36,492,14,20
142,35,489,14,20
143,35,485,14,19
144,34,481,13,19
145,34,478,13,19
146,33,474,13,19
147,33,471,13,19
148,32,468,12,18
149,32,464,12,18
150,31,461,12,18
151,31,457,12,18
152,31,454,11,18
153,30,451,11,17
154,30,447,11,17
155,29,444,11,17
156,29,441,11,17
157,29,438,11,16
158,28,434,10,16
159,28,431,10,16
160,27,428,10,16
161,27,425,10,15
162,27,422,10,15
163,26,419,10,15
164,26,416,10,15
165,25,412,9,14
166,25,409,9,14
167,25,406,9,14
168,24,403,9,14
169,24,400,9,13
170,23,397,9,13
171,23,394,9,13
172,23,391,9,13
173,22,388,9,13
174,22,386,8,12
175,21,383,8,12
176,21,380,8,12
177,21,377,8,12
178,20,374,8,11
179,20,371,8,11
180,19,368,8,11
181,19,366,8,11
182,19,363,7,11
183,18,360,7,10
184,18,357,7,10
185,17,354,7,10
186,17,352,7,10
187,17,349,6,10
188,16,346,6,9
189,16,344,6,9
190,15,341,6,9
191,15,338,6,9
192,15,336,6,9
193,14,333,6,8
194,14,330,6,8
195,13,328,5,8
196,13,325,5,8
197,13,323,5,8
198,12,320,5,8
199,12,318,5,7
200,11,315,5,7
201,11,312,5,7
202,11,310,5,7
203,10,307,5,7
204,10,305,4,7
205,9,302,4,6
206,9,300,4,6
207,9,298,4,6
208,8,295,4,6
209,8,293,4,6
210,7,290,4,6
211,7,288,4,6
212,7,285,4,5
213,6,283,4,5
214,6,281,4,5
215,5,278,4,5
216,5,276,3,5
217,5,274,3,5
218,4,271,3,5
219,4,269,3,5
220,3,267,3,4
221,3,264,3,4
222,3,262,3,4
223,2,260,3,4
224,2,258,3,4
225,1,255,3,4
226,1,253,3,4
227,1,251,3,4
228,1,249,3,4
229,1,246,2,3
230,1,244,2,3
231,1,242,2,3
232,1,240,2,3
233,1,238,2,3
234,1,235,2,3
235,1,233,2,3
236,1,231,2,3
237,1,229,2,3
238,1,227,2,3
239,1,225,2,3
240,1,223,2,3
241,1,220,1,3
242,1,218,1,3
243,1,216,1,2
244,1,214,1,2
245,1,212,1,2
246,1,210,1,2
247,1,208,1,2
248,1,206,1,2
249,1,204,1,2
250,1,202,1,2
251,1,200,1,2
252,1,198,1,2
253,1,196,1,2
254,1,194,1,2
255,1,192,1,2
256,1,190,1,2
257,1,189,1,2
