Player,Team,Age,Total Value,Avg./Year,Total Guaranteed,Fully Guaranteed,Free Agency,position,pos_rank,apy,total_value,total_guaranteed,fully_guaranteed,starter
Dak Prescott,Cowboys,32,"$240,000,000","$60,000,000","$231,000,000","$129,000,000",2029 Void,QB,1,60000000,240000000,231000000,129000000,1
Joe Burrow,Bengals,29,"$275,000,000","$55,000,000","$219,010,000","$146,510,000",2030 Void,QB,2,55000000,275000000,219010000,146510000,1
Jordan Love,Packers,27,"$220,000,000","$55,000,000","$160,300,000","$100,800,000",2029 Void,QB,3,55000000,220000000,160300000,100800000,1
Trevor Lawrence,Jaguars,26,"$275,000,000","$55,000,000","$200,000,000","$142,000,000",2031 Void,QB,4,55000000,275000000,200000000,142000000,1
Tua Tagovailoa,Dolphins,27,"$212,400,000","$53,100,000","$167,171,000","$93,171,000",2029 Void,QB,5,53100000,212400000,167171000,93171000,1
Jared Goff,Lions,31,"$212,000,000","$53,000,000","$170,611,832","$113,611,832",2029 Void,QB,6,53000000,212000000,170611832,113611832,1
Justin Herbert,Chargers,27,"$262,500,000","$52,500,000","$193,738,375","$133,738,375",2030 UFA,QB,7,52500000,262500000,193738375,133738375,1
Lamar Jackson,Ravens,28,"$260,000,000","$52,000,000","$185,000,000","$135,000,000",2028 Void,QB,8,52000000,260000000,185000000,135000000,1
Jalen Hurts,Eagles,27,"$255,000,000","$51,000,000","$179,304,000","$110,000,000",2029 Void,QB,9,51000000,255000000,179304000,110000000,1
Kyler Murray,Cardinals,28,"$230,500,000","$46,100,000","$160,000,000","$103,300,000",2029 UFA,QB,10,46100000,230500000,160000000,103300000,1
Deshaun Watson,Browns,30,"$230,000,000","$46,000,000","$230,000,000","$230,000,000",2028 Void,QB,11,46000000,230000000,230000000,230000000,1
Kirk Cousins,Falcons,37,"$180,000,000","$45,000,000","$100,000,000","$90,000,000",2028 UFA,QB,12,45000000,180000000,100000000,90000000,1
Patrick Mahomes,Chiefs,30,"$450,000,000","$45,000,000","$141,000,000","$63,081,905",2032 Void,QB,13,45000000,450000000,141000000,63081905,1
Josh Allen,Bills,29,"$258,000,000","$43,000,000","$150,000,000","$100,000,000",2029 UFA,QB,14,43000000,258000000,150000000,100000000,1
Matt Stafford,Rams,37,"$160,000,000","$40,000,000","$135,000,000","$63,000,000",2027 UFA,QB,15,40000000,160000000,135000000,63000000,1
Derek Carr,Saints,34,"$150,000,000","$37,500,000","$100,000,000","$60,000,000",2027 Void,QB,16,37500000,150000000,100000000,60000000,1
Sam Darnold,Seahawks,28,"$100,500,000","$33,500,000","$55,000,000",$0,2028 UFA,QB,17,33500000,100500000,55000000,0,1
Baker Mayfield,Buccaneers,30,"$100,000,000","$33,333,333","$50,000,000","$40,000,000",2027 Void,QB,18,33333333,100000000,50000000,40000000,1
Geno Smith,Raiders,35,"$75,000,000","$25,000,000","$40,000,000","$27,300,000",2026 UFA,QB,19,25000000,75000000,40000000,27300000,1
Justin Fields,Jets,26,"$40,000,000","$20,000,000","$30,000,000","$30,000,000",2027 Void,QB,20,20000000,40000000,30000000,30000000,1
Daniel Jones,Colts,28,"$14,000,000","$14,000,000","$13,150,000","$13,150,000",2026 UFA,QB,21,14000000,14000000,13150000,13150000,1
Caleb Williams,Bears,24,"$39,486,058","$9,871,515","$39,486,058","$39,486,058",2028 UFA,QB,22,9871515,39486058,39486058,39486058,1
Bryce Young,Panthers,24,"$37,955,074","$9,488,769","$37,955,074","$37,955,074",2027 UFA,QB,23,9488769,37955074,37955074,37955074,1
Jayden Daniels,Commanders,25,"$37,746,650","$9,436,663","$37,746,650","$37,746,650",2028 UFA,QB,24,9436663,37746650,37746650,37746650,1
Drake Maye,Patriots,23,"$36,639,764","$9,159,941","$36,639,764","$36,639,764",2028 UFA,QB,25,9159941,36639764,36639764,36639764,1
C.J. Stroud,Texans,24,"$36,279,246","$9,069,812","$36,279,246","$36,279,246",2027 UFA,QB,26,9069812,36279246,36279246,36279246,1
Anthony Richardson,Colts,24,"$33,994,030","$8,498,508","$33,994,030","$33,994,030",2027 UFA,QB,27,8498508,33994030,33994030,33994030,1
Marcus Mariota,Commanders,32,"$8,000,000","$8,000,000","$7,390,000",$0,2026 UFA,QB,28,8000000,8000000,7390000,0,1
Jacoby Brissett,Cardinals,33,"$12,500,000","$6,250,000","$8,000,000",$0,2027 UFA,QB,29,6250000,12500000,8000000,0,1
Tyrod Taylor,Jets,36,"$12,000,000","$6,000,000","$8,500,000","$8,500,000",2026 Void,QB,30,6000000,12000000,8500000,8500000,1
Jarrett Stidham,Broncos,29,"$12,000,000","$6,000,000","$6,990,000","$6,990,000",2027 UFA,QB,31,6000000,12000000,6990000,6990000,1
Zach Wilson,Dolphins,26,"$6,000,000","$6,000,000","$6,000,000","$6,000,000",2026 UFA,QB,32,6000000,6000000,6000000,6000000,1
Michael Penix Jr.,Falcons,25,"$22,882,636","$5,720,659","$22,882,636","$22,882,636",2028 UFA,QB,33,5720659,22882636,22882636,22882636,0
J.J. McCarthy,Vikings,22,"$21,854,796","$5,463,699","$21,854,796","$21,854,796",2028 UFA,QB,34,5463699,21854796,21854796,21854796,0
Bo Nix,Broncos,25,"$18,613,166","$4,653,292","$18,613,166","$18,613,166",2028 UFA,QB,35,4653292,18613166,18613166,18613166,0
Jimmy Garoppolo,Rams,34,"$4,505,000","$4,505,000","$4,505,000","$4,505,000",2026 UFA,QB,36,4505000,4505000,4505000,4505000,0
Davis Mills,Texans,27,"$8,116,000","$4,058,000","$6,316,000","$6,316,000",2026 UFA,QB,37,4058000,8116000,6316000,6316000,0
Andy Dalton,Panthers,38,"$8,000,000","$4,000,000","$6,000,000","$6,000,000",2027 Void,QB,38,4000000,8000000,6000000,6000000,0
Joshua Dobbs,Patriots,30,"$8,000,000","$4,000,000","$3,800,000","$3,800,000",2027 UFA,QB,39,4000000,8000000,3800000,3800000,0
Kenny Pickett,Browns,27,"$14,067,904","$3,516,976","$14,067,904","$14,067,904",2026 UFA,QB,40,3516976,14067904,14067904,14067904,0
Mac Jones,49ers,27,"$7,000,000","$3,500,000","$5,000,000",$0,2027 UFA,QB,41,3500000,7000000,5000000,0,0
Kyle Trask,Buccaneers,27,"$2,787,000","$2,787,000",$0,$0,2026 UFA,QB,42,2787000,2787000,0,0,0
Mitchell Trubisky,Bills,31,"$5,250,000","$2,625,000","$3,710,000","$2,710,000",2026 UFA,QB,43,2625000,5250000,3710000,2710000,0
Will Levis,Titans,26,"$9,542,162","$2,385,541","$8,730,957","$8,730,957",2027 UFA,QB,44,2385541,9542162,8730957,8730957,0
Nick Mullens,Jaguars,30,"$4,500,000","$2,250,000","$3,000,000",$0,2027 UFA,QB,45,2250000,4500000,3000000,0,0
Hendon Hooker,Lions,27,"$5,719,028","$1,429,757","$1,159,292","$1,159,292",2027 UFA,QB,46,1429757,5719028,1159292,1159292,0
Malik Willis,Packers,26,"$5,160,100","$1,290,025","$932,800","$932,800",2026 UFA,QB,47,1290025,5160100,932800,932800,0
Brett Rypien,Vikings,29,"$1,195,000","$1,195,000",$0,$0,2026 UFA,QB,48,1195000,1195000,0,0,0
Will Grier,Cowboys,30,"$1,170,000","$1,170,000",$0,$0,2026 UFA,QB,49,1170000,1170000,0,0,0
John Wolford,Jaguars,30,"$1,170,000","$1,170,000",$0,$0,2026 UFA,QB,50,1170000,1170000,0,0,0
Mike White,Bills,30,"$2,320,000","$1,160,000",$0,$0,2026 UFA,QB,51,1160000,2320000,0,0,0
Michael Pratt,Buccaneers,24,"$2,285,000","$1,142,500","$250,000","$25,000",2027 ERFA,QB,52,1142500,2285000,250000,25000,0
Jake Haener,Saints,26,"$4,544,812","$1,136,203","$704,812","$704,812",2027 UFA,QB,53,1136203,4544812,704812,704812,0
Stetson Bennett,Rams,28,"$4,539,132","$1,134,783","$699,132","$699,132",2027 RFA,QB,54,1134783,4539132,699132,699132,0
Skylar Thompson,Steelers,28,"$1,100,000","$1,100,000",$0,$0,2026 UFA,QB,55,1100000,1100000,0,0,0
