name,team,position,position_group,year,draft_control
John Blackinger,49ers,General Manager,General Manager,1946,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1946,0
John Blackinger,49ers,General Manager,General Manager,1947,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1947,0
John Blackinger,49ers,General Manager,General Manager,1948,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1948,0
John Blackinger,49ers,General Manager,General Manager,1949,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1949,0
John Blackinger,49ers,General Manager,General Manager,1950,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1950,0
John Blackinger,49ers,General Manager,General Manager,1951,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1951,0
Tony Morabito,49ers,Founder/Principal Owner,Owner,1952,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1952,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1953,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1953,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1954,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1954,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1955,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1955,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1956,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1956,1
Tony Morabito,49ers,Founder/Principal Owner,Owner,1957,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1957,1
Victor Morabito,49ers,Co-Owner,Owner,1958,0
Josephine Morabito,49ers,Co-Owner,Owner,1958,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1958,1
Victor Morabito,49ers,Co-Owner,Owner,1959,0
Josephine Morabito,49ers,Co-Owner,Owner,1959,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1959,1
Victor Morabito,49ers,Co-Owner,Owner,1960,0
Josephine Morabito,49ers,Co-Owner,Owner,1960,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1960,1
Victor Morabito,49ers,Co-Owner,Owner,1961,0
Josephine Morabito,49ers,Co-Owner,Owner,1961,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1961,1
Victor Morabito,49ers,Co-Owner,Owner,1962,0
Josephine Morabito,49ers,Co-Owner,Owner,1962,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1962,1
Victor Morabito,49ers,Co-Owner,Owner,1963,0
Josephine Morabito,49ers,Co-Owner,Owner,1963,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1963,1
Jane Morabito,49ers,Co-Owner,Owner,1964,0
Josephine Morabito,49ers,Co-Owner,Owner,1964,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1964,1
Jane Morabito,49ers,Co-Owner,Owner,1965,0
Josephine Morabito,49ers,Co-Owner,Owner,1965,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1965,1
Jane Morabito,49ers,Co-Owner,Owner,1966,0
Josephine Morabito,49ers,Co-Owner,Owner,1966,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1966,1
Jane Morabito,49ers,Co-Owner,Owner,1967,0
Josephine Morabito,49ers,Co-Owner,Owner,1967,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1967,1
Jane Morabito,49ers,Co-Owner,Owner,1968,0
Josephine Morabito,49ers,Co-Owner,Owner,1968,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1968,1
Jane Morabito,49ers,Co-Owner,Owner,1969,0
Josephine Morabito,49ers,Co-Owner,Owner,1969,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1969,1
Jane Morabito,49ers,Co-Owner,Owner,1970,0
Josephine Morabito,49ers,Co-Owner,Owner,1970,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1970,1
Jane Morabito,49ers,Co-Owner,Owner,1971,0
Josephine Morabito,49ers,Co-Owner,Owner,1971,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1971,1
Jane Morabito,49ers,Co-Owner,Owner,1972,0
Josephine Morabito,49ers,Co-Owner,Owner,1972,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1972,1
Jane Morabito,49ers,Co-Owner,Owner,1973,0
Josephine Morabito,49ers,Co-Owner,Owner,1973,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1973,1
Jane Morabito,49ers,Co-Owner,Owner,1974,0
Josephine Morabito,49ers,Co-Owner,Owner,1974,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1974,1
Jane Morabito,49ers,Co-Owner,Owner,1975,0
Josephine Morabito,49ers,Co-Owner,Owner,1975,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1975,1
Jane Morabito,49ers,Co-Owner,Owner,1976,0
Josephine Morabito,49ers,Co-Owner,Owner,1976,0
Louis Spadia,49ers,President/General Manager,President/General Manager,1976,1
Joe Thomas,49ers,General Manager,General Manager,1977,1
"Edward DeBartolo, Jr.",49ers,Principal Owner,Owner,1977,0
Joe Thomas,49ers,General Manager,General Manager,1978,1
"Edward DeBartolo, Jr.",49ers,Principal Owner,Owner,1978,0
Bill Walsh,49ers,Head Coach/General Manager,Head Coach/General Manager,1979,1
"Edward DeBartolo, Jr.",49ers,Principal Owner,Owner,1979,0
