player,pos,old_team,new_team,type,snaps,age,current_apy,guarantees,offseason
Peyton Manning,QB,Broncos,Broncos,Signed,0.0%,39,"$17,000,000","$15,000,000",2015
Eli Manning,QB,Giants,Giants,Extension,0.0%,34,"$21,000,000","$36,500,000",2015
Larry Fitzgerald,WR,Cardinals,Cardinals,Signed,0.0%,32,"$11,000,000","$22,000,000",2015
Darrelle Revis,CB,Patriots,Jets,Signed,0.0%,30,"$14,024,212","$39,000,000",2015
Philip Rivers,QB,Chargers,Chargers,Extension,0.0%,34,"$20,812,500","$37,500,000",2015
Ben Roethlisberger,QB,Steelers,Steelers,Extension,0.0%,33,"$21,850,000","$34,250,000",2015
Adrian Peterson,RB,Vikings,Vikings,Signed,0.0%,30,"$14,000,000","$13,000,000",2015
Greg Hardy,EDGE,Panthers,Cowboys,Signed,0.0%,27,"$11,311,600",$0,2015
Sam Bradford,QB,Rams,Eagles,Trade,0.0%,28,"$12,000,000","$50,000,000",2015
Percy Harvin,WR,Jets,Bills,Signed,0.0%,27,"$6,000,000","$5,900,000",2015
Haloti Ngata,IDL,Ravens,Lions,Trade,0.0%,31,"$12,200,000","$25,000,000",2015
Trent Cole,EDGE,Eagles,Colts,Signed,0.0%,33,"$7,000,000","$8,000,000",2015
Ndamukong Suh,IDL,Lions,Dolphins,Signed,0.0%,28,"$19,062,500","$59,955,000",2015
Mike Wallace,WR,Dolphins,Vikings,Trade,0.0%,29,"$12,000,000","$27,000,000",2015
Tamba Hali,EDGE,Chiefs,Chiefs,Signed,0.0%,32,"$6,000,000","$5,870,000",2015
Brian Orakpo,EDGE,Commanders,Titans,Signed,0.0%,29,"$7,750,000","$8,000,000",2015
Dwayne Bowe,WR,Chiefs,Browns,Signed,0.0%,31,"$6,500,000","$9,000,000",2015
Junior Galette,EDGE,Saints,Commanders,Signed,0.0%,27,"$745,000",$0,2015
Trent Williams,LT,Commanders,Commanders,Extension,60.1%,27,"$13,200,000","$30,000,000",2015
Jimmy Graham,TE,Saints,Seahawks,Trade,0.0%,29,"$10,000,000","$13,000,000",2015
Patrick Willis,LB,49ers,,SFA,0.0%,30,"$10,000,000","$15,500,000",2015
Brandon Marshall,WR,Bears,Jets,Trade,0.0%,31,"$8,666,667","$9,000,000",2015
Andrew Whitworth,LT,Bengals,Bengals,Extension,0.0%,34,"$9,000,000","$2,000,000",2015
Jason Worilds,EDGE,Steelers,,ERFA,0.0%,27,"$9,754,000","$9,754,000",2015
Johnathan Joseph,CB,Texans,Texans,Signed,0.0%,31,"$7,333,333","$11,500,000",2015
Jerod Mayo,LB,Patriots,Patriots,Signed,0.0%,29,"$7,333,333","$4,500,000",2015
LeSean McCoy,RB,Eagles,Bills,Trade,0.0%,27,"$8,010,000","$18,250,000",2015
David Harris,LB,Jets,Jets,Signed,0.0%,31,"$7,166,667","$15,000,000",2015
Greg Jennings,WR,Vikings,Dolphins,Signed,0.0%,32,"$4,000,000","$3,000,000",2015
Andre Johnson,WR,Texans,Colts,Signed,0.0%,34,"$7,000,000","$10,000,000",2015
Ahtyba Rubin,IDL,Browns,Seahawks,Signed,0.0%,29,"$2,600,000","$1,000,000",2015
Darnell Dockett,IDL,Cardinals,,SFA,0.0%,34,"$8,825,000","$4,450,000",2015
Michael Johnson,EDGE,Buccaneers,Bengals,Signed,0.0%,28,"$5,000,000","$4,500,000",2015
Jake Long,LT,Rams,Falcons,Signed,0.0%,30,"$1,500,000",$0,2015
Lardarius Webb,CB,Ravens,Ravens,Signed,0.0%,30,"$5,416,667","$5,250,000",2015
Tramon Williams,CB,Packers,Browns,Signed,0.0%,32,"$7,000,000","$10,000,000",2015
Dashon Goldson,S,Buccaneers,Commanders,Trade,0.0%,31,"$8,250,000","$22,000,000",2015
Jahri Evans,RG,Saints,Saints,Signed,0.0%,32,"$7,666,667","$7,000,000",2015
Jared Allen,EDGE,Bears,Panthers,Trade,0.0%,33,"$8,000,000","$15,500,000",2015
DeMeco Ryans,LB,Eagles,Eagles,Signed,0.0%,31,"$3,750,000","$4,000,000",2015
Andy Levitre,LG,Titans,Falcons,Trade,0.0%,29,"$5,812,500","$5,500,000",2015
Marshawn Lynch,RB,Seahawks,Seahawks,Extension,0.0%,29,"$12,000,000","$12,000,000",2015
Kyle Williams,IDL,Bills,Bills,Extension,0.0%,32,"$10,000,000","$4,500,000",2015
Paul Posluszny,LB,Jaguars,Jaguars,Signed,0.0%,31,"$5,000,000","$4,450,000",2015
Antrel Rolle,S,Giants,Bears,Signed,0.0%,33,"$3,750,000","$4,900,000",2015
Vernon Davis,TE,49ers,Broncos,Trade,0.0%,31,"$7,350,000","$10,000,000",2015
Marques Colston,WR,Saints,Saints,Signed,0.0%,32,"$3,500,000","$2,305,000",2015
Steve Johnson,WR,49ers,Chargers,Signed,0.0%,29,"$3,500,000","$3,870,000",2015
Ben Grubbs,LG,Saints,Chiefs,Trade,0.0%,31,"$6,000,000","$6,600,000",2015
Michael Roos,LT,Titans,,ERFA,0.0%,33,"$7,166,667","$12,880,000",2015
Gosder Cherilus,RT,Colts,Buccaneers,Signed,0.0%,31,"$3,000,000","$500,000",2015
Dannell Ellerbe,LB,Dolphins,Saints,Trade,0.0%,30,"$5,066,667","$4,700,000",2015
Lance Briggs,LB,Bears,,ERFA,0.0%,35,"$7,000,000","$5,000,000",2015
Sam Baker,LT,Falcons,,SFA,0.0%,30,"$6,850,000","$18,250,000",2015
Marcedes Lewis,TE,Jaguars,Jaguars,Signed,19.4%,31,"$2,650,000","$750,000",2015
Thomas Davis,LB,Panthers,Panthers,Signed,0.0%,32,"$6,000,000","$1,000,000",2015
Matt Schaub,QB,Raiders,Ravens,Signed,0.0%,34,"$2,000,000","$2,000,000",2015
Tyvon Branch,S,Raiders,Chiefs,Signed,0.0%,29,"$2,100,000","$1,070,000",2015
Anthony Davis,RT,49ers,,SFA,0.0%,26,"$6,640,000","$8,380,000",2015
Justin Blalock,LG,Falcons,,SFA,0.0%,32,"$6,400,000","$16,000,000",2015
Marshal Yanda,RG,Ravens,Ravens,Extension,0.0%,31,"$7,979,412","$15,800,000",2015
Vince Wilfork,IDL,Patriots,Texans,Signed,0.0%,34,"$4,500,000","$5,000,000",2015
Frank Gore,RB,49ers,Colts,Signed,0.0%,32,"$4,000,000","$6,500,000",2015
Chris Myers,C,Texans,,SFA,0.0%,34,"$6,250,000","$14,000,000",2015
Max Unger,C,Seahawks,Saints,Trade,0.0%,29,"$6,233,750","$11,500,000",2015
Brian Hartline,WR,Dolphins,Browns,Signed,0.0%,29,"$3,000,000","$3,000,000",2015
LaRon Landry,S,Colts,,SFA,0.0%,31,"$6,000,000","$11,000,000",2015
Anthony Collins,RT,Buccaneers,,SFA,0.0%,30,"$6,000,000","$9,000,000",2015
Todd Herremans,LG,Eagles,,SFA,0.0%,33,"$6,000,000","$9,000,000",2015
Connor Barwin,EDGE,Eagles,Eagles,Signed,0.0%,29,"$7,787,500","$9,400,000",2015
Wes Welker,WR,Broncos,Rams,Signed,0.0%,34,"$1,170,000",$0,2015
Barry Cofield,IDL,Commanders,Giants,Signed,0.0%,31,"$870,000",$0,2015
A.J. Green,WR,Bengals,Bengals,Extension,0.0%,27,"$15,000,000","$26,750,000",2015
Reggie Wayne,WR,Colts,,UFA,0.0%,37,"$5,833,333","$7,500,000",2015
Danny Amendola,WR,Patriots,Patriots,Signed,0.0%,30,"$4,750,000","$500,000",2015
Greg Olsen,TE,Panthers,Panthers,Extension,0.0%,30,"$7,500,000","$12,000,000",2015
Marcell Dareus,IDL,Bills,Bills,Extension,0.0%,25,"$15,850,000","$42,900,000",2015
Jon Beason,LB,Giants,Giants,Signed,0.0%,30,"$4,400,000","$1,050,000",2015
Cary Williams,CB,Eagles,,SFA,0.0%,31,"$5,666,667","$5,750,000",2015
Tim Jennings,CB,Bears,,SFA,0.0%,32,"$5,600,000","$7,400,000",2015
Cam Newton,QB,Panthers,Panthers,Extension,0.0%,26,"$20,760,000","$41,000,000",2015
