player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jared Goff,10635,QB,DET,1,66.7,51,55,7.4,2.49,1,1,1.8,61.8,34,0,19,0.0,58,0,16,11,81.5,49.0,49.1,59.0,0,2,60,0,0.0,61.7,0.0,0,2,1,2,0,2,3.3,307,5.6
Geno Smith,7820,QB,SEA,1,90.5,42,44,7.8,2.49,0,2,4.2,75.0,33,0,16,13.2,48,5,12,29,81.3,83.1,79.2,73.1,1,0,52,1,18.8,103.1,6.3,3,1,1,0,1,0,0.0,327,7.4
Dak Prescott,10769,QB,DAL,1,73.0,37,39,8.3,2.77,1,0,0.0,69.2,27,0,14,0.0,43,0,13,9,29.9,53.3,49.6,74.4,0,2,47,0,21.4,78.3,7.0,3,1,1,0,1,2,4.3,293,7.5
Gardner Minshew,41401,QB,LV,1,86.1,36,38,6.3,2.77,0,2,5.0,78.9,30,0,11,3.2,43,1,14,23,79.9,73.1,71.8,60.0,0,1,46,0,45.5,94.7,11.6,5,0,0,2,1,1,2.2,276,7.3
Caleb Williams,144622,QB,CHI,1,75.8,33,37,6.5,2.85,0,0,0.0,62.2,23,0,20,8.0,47,2,8,6,80.9,45.1,44.1,60.4,0,2,51,2,35.0,51.0,14.9,7,3,0,4,0,3,5.9,174,4.7
Joe Burrow,28022,QB,CIN,1,72.7,33,36,7.5,2.74,0,2,5.3,63.9,23,0,13,4.2,41,1,12,7,22.9,67.1,74.1,38.6,0,0,44,1,23.1,103.7,7.3,3,2,0,3,2,1,2.3,258,7.2
C.J. Stroud,129759,QB,HST,1,72.7,33,36,7.8,2.72,1,3,8.3,63.9,23,0,12,4.2,39,1,11,13,79.3,75.2,72.6,65.4,0,0,40,0,25.0,94.7,7.7,3,0,0,2,1,1,2.5,260,7.2
Brock Purdy,77672,QB,SF,1,77.8,36,36,8.8,3.07,0,1,2.8,77.8,28,0,16,0.0,45,0,18,28,27.2,61.2,60.1,62.0,0,1,45,0,37.5,101.3,13.3,6,2,0,0,1,3,6.7,319,8.9
Bo Nix,97790,QB,DEN,1,74.2,31,35,9.8,2.77,2,1,2.5,57.1,20,0,17,13.0,39,3,9,10,80.0,48.9,49.9,54.4,1,2,44,0,11.8,55.2,5.1,2,2,0,1,0,1,2.3,246,7.0
Anthony Richardson,124393,QB,IND,1,62.5,32,34,12.1,3.21,0,1,2.8,50.0,17,0,11,15.0,37,3,12,14,21.6,40.6,42.5,51.1,1,3,39,0,9.1,41.8,2.7,1,2,1,0,1,5,12.8,204,6.0
Deshaun Watson,11767,QB,CLV,1,81.3,32,34,6.2,3.17,0,1,2.7,64.7,22,0,18,15.4,38,4,7,8,79.9,72.2,77.0,46.8,1,0,42,0,11.1,78.8,5.3,2,2,0,1,0,0,0.0,186,5.5
Lamar Jackson,46416,QB,BLT,1,72.4,29,34,9.8,2.68,2,0,0.0,61.8,21,0,5,0.0,37,0,14,3,79.7,73.2,74.5,55.6,0,1,39,0,40.0,81.4,5.4,2,1,2,1,1,0,0.0,247,7.3
Jalen Hurts,40291,QB,PHI,1,82.8,29,30,6.6,3.59,0,0,0.0,76.7,23,0,15,4.2,35,1,14,24,80.5,79.1,67.1,90.0,0,1,38,1,6.7,88.8,2.9,1,4,0,1,1,2,5.3,184,6.1
Aaron Rodgers,2241,QB,NYJ,1,77.8,27,30,6.2,2.41,1,2,6.5,60.0,18,0,5,14.3,33,3,9,22,78.3,67.2,69.4,57.8,1,0,34,2,40.0,98.8,6.1,2,1,0,1,2,0,0.0,176,5.9
Trevor Lawrence,77632,QB,JAX,1,60.7,28,30,13.4,2.75,0,2,5.9,46.7,14,0,15,17.6,36,3,11,15,28.7,67.5,63.1,74.8,0,0,41,0,26.7,71.5,11.1,4,2,1,1,0,1,2.4,220,7.3
Jayden Daniels,97993,QB,WAS,1,82.1,28,29,5.0,2.84,1,0,0.0,79.3,23,0,13,0.0,38,0,12,32,80.4,64.7,61.5,66.5,0,0,41,0,38.5,99.1,13.2,5,4,0,0,0,0,0.0,226,7.8
Kirk Cousins,7102,QB,ATL,1,80.8,26,29,8.1,2.84,1,0,0.0,69.0,20,0,14,4.8,31,1,11,2,78.6,73.3,74.7,52.7,0,0,34,0,7.1,117.3,3.2,1,1,0,2,2,1,2.9,242,8.3
Daniel Jones,39395,QB,NYG,1,65.4,26,28,10.3,2.88,0,0,0.0,57.1,16,0,9,5.9,30,1,11,21,79.1,71.4,65.0,76.6,0,0,33,0,11.1,100.0,3.3,1,1,0,2,2,0,0.0,178,6.4
Will Levis,83542,QB,TEN,1,74.1,27,28,10.8,3.03,0,2,6.5,67.9,19,0,17,5.0,35,1,9,31,26.1,65.9,61.1,71.7,0,1,38,0,23.5,84.2,11.4,4,3,0,1,1,1,2.6,192,6.9
Matthew Stafford,4924,QB,LA,1,76.9,26,27,6.6,2.94,1,0,0.0,70.4,19,0,11,5.0,32,1,9,26,26.5,57.2,56.7,,0,0,32,0,45.5,94.1,15.6,5,0,0,0,0,1,3.1,216,8.0
Jacoby Brissett,10725,QB,NE,1,76.2,21,27,6.4,3.24,0,0,0.0,55.6,15,0,14,6.3,32,1,9,19,77.9,64.9,67.2,50.3,2,0,33,0,21.4,83.7,9.4,3,2,0,4,1,0,0.0,149,5.5
Sam Darnold,29048,QB,MIN,1,70.8,24,26,8.5,2.95,0,2,7.7,65.4,17,0,9,0.0,31,0,11,18,20.7,69.5,72.8,51.0,0,1,31,1,33.3,109.1,9.7,3,2,1,1,2,1,3.2,268,10.3
Bryce Young,123943,QB,CAR,1,72.0,25,26,2.9,2.46,1,0,0.0,69.2,18,0,4,0.0,29,0,3,5,77.6,38.8,39.4,58.3,0,1,31,0,50.0,57.2,6.9,2,1,0,0,0,1,3.2,84,3.2
Patrick Mahomes,11765,QB,KC,1,78.3,23,25,4.0,2.55,0,1,3.2,72.0,18,0,8,0.0,32,0,8,16,78.7,58.7,52.0,77.2,0,2,38,0,25.0,80.6,6.3,2,4,0,2,2,3,7.9,151,6.0
Tua Tagovailoa,60326,QB,MIA,1,70.8,24,25,7.2,2.19,0,1,4.0,68.0,17,0,7,0.0,29,0,10,17,77.2,48.0,42.2,73.4,0,3,29,0,14.3,56.7,3.4,1,2,0,1,1,2,6.9,145,5.8
Kyler Murray,38334,QB,ARZ,1,81.0,21,21,10.7,3.17,0,6,27.3,81.0,17,0,8,0.0,26,0,10,1,77.1,96.9,95.5,78.9,0,0,27,0,12.5,158.3,3.8,1,4,0,0,3,0,0.0,266,12.7
Justin Herbert,28237,QB,LAC,1,73.7,19,20,7.6,3.05,0,0,0.0,70.0,14,0,5,0.0,22,0,8,27,26.2,54.8,48.4,70.6,0,1,24,0,20.0,100.0,4.5,1,1,0,1,2,2,8.3,130,6.5
Justin Fields,82118,QB,PIT,1,82.4,17,20,6.9,3.04,0,1,3.7,65.0,13,0,15,7.1,26,1,8,25,78.6,69.9,73.9,51.6,1,0,33,0,13.3,97.3,7.7,2,4,0,2,1,0,0.0,117,5.9
Josh Allen,46601,QB,BUF,1,76.5,17,19,7.9,2.78,1,1,5.3,68.4,13,0,10,0.0,20,0,5,4,23.8,77.1,72.3,68.5,0,0,20,0,0.0,107.1,0.0,0,1,0,1,1,1,5.0,139,7.3
Baker Mayfield,46518,QB,TB,1,72.2,18,19,8.3,2.89,1,0,0.0,63.2,12,0,9,7.7,28,1,11,30,19.4,56.5,50.1,72.8,0,1,29,0,55.6,90.9,17.9,5,3,0,0,1,3,10.3,185,9.7
Derek Carr,8671,QB,NO,1,80.0,15,16,8.9,2.66,0,1,5.6,68.8,11,0,5,8.3,18,1,8,20,75.5,91.0,89.6,63.1,0,1,20,0,20.0,125.0,5.6,1,0,0,1,2,0,0.0,243,15.2
