player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,17,79.6,612,652,7.7,2.65,8,38,5.5,70.6,460,1,248,5.5,725,27,264,7,56.9,93.9,92.9,74.8,8,9,775,9,19.4,108.5,6.6,48,22,1,23,43,15,1.9,4918,7.5
Aaron Rodgers,2241,QB,NYJ,17,73.7,552,584,7.3,2.65,8,26,4.2,63.0,368,0,178,9.6,643,39,199,22,78.0,77.6,76.1,71.9,6,11,684,9,22.5,90.5,6.2,40,16,0,18,28,12,1.8,3897,6.7
Patrick Mahomes,11765,QB,KC,16,77.1,532,581,6.9,2.76,10,18,2.9,67.5,392,1,212,4.4,661,18,236,16,90.8,85.8,79.1,91.5,8,11,704,2,17.0,93.5,5.4,36,37,2,29,26,15,2.1,3928,6.8
Geno Smith,7820,QB,SEA,17,78.4,537,578,7.6,2.82,13,28,4.5,70.4,407,1,251,3.3,652,14,221,29,65.2,83.1,82.4,62.6,4,15,704,10,19.9,93.2,7.7,50,24,2,22,21,18,2.6,4320,7.5
Baker Mayfield,46518,QB,TB,17,78.7,545,570,7.3,2.77,11,22,3.7,71.4,407,0,159,5.1,657,22,244,30,46.8,86.0,82.4,78.6,5,16,695,3,25.2,106.8,6.1,40,42,1,8,41,24,3.5,4500,7.9
Bo Nix,97790,QB,DEN,17,76.7,523,567,7.8,2.97,16,21,3.5,66.3,376,1,181,6.2,646,25,195,10,91.5,76.4,72.8,77.0,4,12,683,9,13.3,93.3,3.7,24,50,1,23,29,13,1.9,3775,6.7
Caleb Williams,144622,QB,CHI,17,73.4,504,562,8.1,3.03,12,24,3.9,62.5,351,1,241,5.1,682,19,190,6,81.6,67.6,63.5,80.4,4,6,741,9,28.2,87.8,10.0,68,48,4,38,20,19,2.6,3541,6.3
Sam Darnold,29048,QB,MIN,17,77.2,492,545,9.2,3.07,8,33,5.6,66.2,361,0,236,5.0,622,19,220,18,60.6,82.7,80.3,77.5,11,12,672,10,20.3,102.5,7.7,48,28,1,33,35,24,3.6,4319,7.9
Kyler Murray,38334,QB,ARZ,17,75.9,503,541,7.4,2.84,10,27,4.7,68.8,372,0,180,2.6,614,10,207,1,66.8,82.1,77.9,81.8,3,11,656,6,16.7,93.5,4.9,30,40,1,24,21,16,2.4,3851,7.1
Jared Goff,10635,QB,DET,17,79.3,498,539,7.0,2.68,7,17,3.1,72.4,390,0,188,1.3,586,5,242,11,69.4,81.8,79.5,65.0,5,12,604,2,16.5,111.8,5.3,31,14,3,26,37,17,2.8,4629,8.6
C.J. Stroud,129759,QB,HST,17,72.3,495,532,8.6,3.01,6,23,4.1,63.2,336,0,235,6.1,622,22,201,13,79.6,78.9,77.6,66.3,9,12,656,5,22.1,87.0,8.4,52,37,1,21,20,16,2.4,3727,7.0
Matthew Stafford,4924,QB,LA,16,73.0,482,517,8.0,2.63,10,23,4.2,65.8,340,0,171,3.4,549,12,180,26,68.8,74.7,72.4,68.8,8,8,586,1,16.4,93.7,5.1,28,3,1,16,20,21,3.6,3762,7.3
Justin Herbert,28237,QB,LAC,17,76.9,468,504,9.0,2.87,10,33,6.1,65.9,332,0,190,7.8,581,28,187,27,56.8,91.7,90.8,72.4,6,3,623,1,21.6,101.7,7.1,41,31,3,17,23,13,2.1,3870,7.7
Josh Allen,46601,QB,BUF,16,73.3,442,483,8.8,2.87,9,37,7.1,63.6,307,0,176,5.2,542,17,190,4,53.7,91.8,82.9,94.4,5,6,587,3,8.0,101.4,2.6,14,42,1,26,28,15,2.6,3731,7.7
Jayden Daniels,97993,QB,WAS,17,79.1,445,480,7.9,2.97,11,20,3.9,69.0,331,1,212,6.0,605,21,204,32,68.2,89.6,83.0,88.2,1,9,642,1,22.2,100.1,7.8,47,75,2,21,25,11,1.7,3568,7.4
Lamar Jackson,46416,QB,BLT,17,76.3,434,474,9.4,3.17,11,30,6.0,66.7,316,0,204,4.5,540,15,215,3,47.0,94.0,92.6,87.7,10,4,575,7,11.3,119.6,4.3,23,39,5,14,41,8,1.4,4172,8.8
Brock Purdy,77672,QB,SF,15,74.1,428,455,9.0,2.99,9,15,3.1,65.9,300,0,200,5.4,537,17,199,28,63.7,82.4,76.3,90.2,2,12,567,2,15.5,96.1,5.8,31,44,5,11,20,17,3.0,3864,8.5
