year,base,bonus,cap_num,ovr_pick,node_num,row,cap_value
2025,840000,6617641,7457641,1,1,1,7457641
2026,2704410,6617641,9322051,1,1,2,9322051
2027,4568820,6617641,11186461,1,1,3,11186461
2028,6433230,6617641,13050871,1,1,4,13050871
2025,840000,1074576,1914576,33,2,1,1914576
2026,1318644,1074576,2393220,33,2,2,2393220
2027,1797288,1074576,2871864,33,2,3,2871864
2028,2275932,1074576,3350508,33,2,4,3350508
2025,840000,320569,1160569,65,3,1,1160569
2026,1130142,320569,1450711,65,3,2,1450711
2027,1420284,320569,1740853,65,3,3,1740853
2028,1710426,320569,2030995,65,3,4,2030995
2025,840000,226547,1066547,103,4,1,1066547
2026,1005000,226547,1231547,103,4,2,1231547
2027,1120000,226547,1346547,103,4,3,1346547
2028,1235000,226547,1461547,103,4,4,1461547
2025,840000,98232,938232,139,5,1,938232
2026,1005000,98232,1103232,139,5,2,1103232
2027,1120000,98232,1218232,139,5,3,1218232
2028,1235000,98232,1333232,139,5,4,1333232
2025,840000,58719,898719,177,6,1,898719
2026,1005000,58719,1063719,177,6,2,1063719
2027,1120000,58719,1178719,177,6,3,1178719
2028,1235000,58719,1293719,177,6,4,1293719
2025,840000,31507,871507,217,7,1,871507
2026,1005000,31507,1036507,217,7,2,1036507
2027,1120000,31507,1151507,217,7,3,1151507
2028,1235000,31507,1266507,217,7,4,1266507
2025,840000,6289826,7129826,2,8,1,7129826
2026,2622457,6289826,8912283,2,8,2,8912283
2027,4404914,6289826,10694740,2,8,3,10694740
2028,6187371,6289826,12477197,2,8,4,12477197
2025,840000,1059674,1899674,34,9,1,1899674
2026,1314919,1059674,2374593,34,9,2,2374593
2027,1789838,1059674,2849512,34,9,3,2849512
2028,2264757,1059674,3324431,34,9,4,3324431
2025,840000,317958,1157958,66,10,1,1157958
2026,1129490,317958,1447448,66,10,2,1447448
2027,1418980,317958,1736938,66,10,3,1736938
2028,1708470,317958,2026428,66,10,4,2026428
2025,840000,221520,1061520,104,11,1,1061520
2026,1005000,221520,1226520,104,11,2,1226520
2027,1120000,221520,1341520,104,11,3,1341520
2028,1235000,221520,1456520,104,11,4,1456520
2025,840000,97364,937364,140,12,1,937364
2026,1005000,97364,1102364,140,12,2,1102364
2027,1120000,97364,1217364,140,12,3,1217364
2028,1235000,97364,1332364,140,12,4,1332364
2025,840000,57030,897030,178,13,1,897030
2026,1005000,57030,1062030,178,13,2,1062030
2027,1120000,57030,1177030,178,13,3,1177030
2028,1235000,57030,1292030,178,13,4,1292030
2025,840000,31404,871404,218,14,1,871404
2026,1005000,31404,1036404,218,14,2,1036404
2027,1120000,31404,1151404,218,14,3,1151404
2028,1235000,31404,1266404,218,14,4,1266404
2025,840000,6081216,6921216,3,15,1,6921216
2026,2570304,6081216,8651520,3,15,2,8651520
2027,4300608,6081216,10381824,3,15,3,10381824
2028,6030912,6081216,12112128,3,15,4,12112128
2025,840000,1044774,1884774,35,16,1,1884774
2026,1311194,1044774,2355968,35,16,2,2355968
2027,1782388,1044774,2827162,35,16,3,2827162
2028,2253582,1044774,3298356,35,16,4,3298356
2025,840000,317698,1157698,67,17,1,1157698
2026,1129425,317698,1447123,67,17,2,1447123
