player,pos,team,age,years,value,apy,offseason
Brandon Graham,OLB,PHI,26,4,"$26,000,000",pending-free-agent-extension,2015
Johnny Hekker,P,STL,24,6,"$18,000,000",pending-free-agent-extension,2015
Tyron Smith,LT,DAL,25,8,"$97,600,000",pending-free-agent-extension,2016
Bryan Anger,P,TB,27,5,"$17,000,000",pending-free-agent-extension,2016
William Gholston,DE,TB,25,5,"$27,500,000",pending-free-agent-extension,2017
Adam Thielen,WR,MIN,26,4,"$19,246,000",pending-free-agent-extension,2017
Jimmy Garoppolo,QB,SF,26,5,"$137,500,000",pending-free-agent-extension,2018
Drew Brees,QB,NO,38,2,"$50,000,000",pending-free-agent-extension,2018
Nigel Bradham,OLB,PHI,28,5,"$40,000,000",pending-free-agent-extension,2018
Marqise Lee,WR,JAX,26,4,"$34,000,000",pending-free-agent-extension,2018
Aaron Brewer,LS,ARI,27,4,"$4,150,000",pending-free-agent-extension,2018
Anthony Barr,OLB,MIN,26,5,"$67,500,000",pending-free-agent-extension,2019
Brandon Graham,OLB,PHI,30,3,"$40,000,000",pending-free-agent-extension,2019
Henry Anderson,DE,NYJ,27,3,"$25,200,000",pending-free-agent-extension,2019
Kenny Vaccaro,SS,TEN,27,4,"$24,000,000",pending-free-agent-extension,2019
Pierre Desir,CB,IND,28,3,"$22,500,000",pending-free-agent-extension,2019
C.J. Uzomah,TE,CIN,25,3,"$18,300,000",pending-free-agent-extension,2019
Denzel Perryman,ILB,LAC,26,2,"$12,000,000",pending-free-agent-extension,2019
Jordan Phillips,DT,BUF,26,1,"$4,500,000",pending-free-agent-extension,2019
Amari Cooper,WR,DAL,25,5,"$100,000,000",pending-free-agent-extension,2020
Arik Armstead,DE,SF,26,5,"$85,000,000",pending-free-agent-extension,2020
Andrus Peat,G,NO,26,5,"$57,500,000",pending-free-agent-extension,2020
Anthony Castonzo,LT,IND,31,2,"$33,000,000",pending-free-agent-extension,2020
Andrew Whitworth,LT,LAR,38,3,"$30,000,077",pending-free-agent-extension,2020
Jimmie Ward,S,SF,28,3,"$28,500,000",pending-free-agent-extension,2020
David Onyemata,DT,NO,27,3,"$26,000,000",pending-free-agent-extension,2020
Michael Brockers,DT,LAR,29,3,"$24,000,000",pending-free-agent-extension,2020
Ka'imi Fairbairn,K,HOU,25,4,"$17,650,000",pending-free-agent-extension,2020
Anthony Brown,CB,DAL,26,3,"$15,500,000",pending-free-agent-extension,2020
Christian Kirksey,ILB,GB,27,2,"$13,000,000",pending-free-agent-extension,2020
Tyeler Davison,DT,ATL,27,3,"$12,000,000",pending-free-agent-extension,2020
Matthew Slater,WR,NE,34,2,"$5,300,000",pending-free-agent-extension,2020
Keith Smith,FB,ATL,27,3,"$4,300,000",pending-free-agent-extension,2020
Dak Prescott,QB,DAL,27,4,"$160,000,000",pending-free-agent-extension,2021
Leonard Floyd,DE,LAR,28,4,"$64,000,000",pending-free-agent-extension,2021
Aaron Jones,RB,GB,26,4,"$48,000,000",pending-free-agent-extension,2021
Kyle Juszczyk,FB,SF,29,5,"$27,000,000",pending-free-agent-extension,2021
Shelby Harris,DT,DEN,29,3,"$27,000,000",pending-free-agent-extension,2021
Michael Davis,CB,LAC,25,3,"$25,200,000",pending-free-agent-extension,2021
Deatrich Wise,DE,NE,26,4,"$22,000,000",pending-free-agent-extension,2021
Daniel Carlson,K,LV,25,4,"$18,400,000",pending-free-agent-extension,2021
Jon Feliciano,G,BUF,28,3,"$14,400,000",pending-free-agent-extension,2021
Derek Wolfe,DE,BAL,30,3,"$12,000,000",pending-free-agent-extension,2021
Dawuane Smoot,DE,JAX,25,2,"$10,000,000",pending-free-agent-extension,2021
Zach Banner,T,PIT,27,2,"$9,500,000",pending-free-agent-extension,2021
Cameron Sutton,CB,PIT,25,2,"$9,000,000",pending-free-agent-extension,2021
James Hurst,RT,NO,29,3,"$9,000,000",pending-free-agent-extension,2021
Denzelle Good,T,LV,29,2,"$8,360,000",pending-free-agent-extension,2021
Jason Verrett,CB,SF,29,1,"$5,500,000",pending-free-agent-extension,2021
Jameis Winston,QB,NO,26,1,"$5,500,000",pending-free-agent-extension,2021
Jayon Brown,ILB,TEN,25,1,"$5,300,000",pending-free-agent-extension,2021
Markus Golden,OLB,ARI,29,2,"$5,000,000",pending-free-agent-extension,2021
Nicholas Morrow,OLB,LV,25,1,"$4,500,000",pending-free-agent-extension,2021
Germain Ifedi,G,CHI,26,1,"$4,250,000",pending-free-agent-extension,2021
Brandon Wilson,S,CIN,26,2,"$4,125,000",pending-free-agent-extension,2021
Kelvin Beachum,RT,ARI,31,2,"$4,000,000",pending-free-agent-extension,2021
C.J. Goodwin,CB,DAL,30,2,"$3,500,000",pending-free-agent-extension,2021
Austin Johnson,DT,NYG,26,1,"$3,000,000",pending-free-agent-extension,2021
Geoff Swaim,TE,TEN,27,1,"$2,500,000",pending-free-agent-extension,2021
Zay Jones,WR,LV,25,1,"$2,500,000",pending-free-agent-extension,2021
Jalen Reeves-Maybin,OLB,DET,25,1,"$2,377,500",pending-free-agent-extension,2021
Rashod Hill,G,MIN,28,1,"$2,377,500",pending-free-agent-extension,2021
Levi Wallace,CB,BUF,25,1,"$1,750,000",pending-free-agent-extension,2021
Aaron Stinnie,G,TB,26,1,"$1,250,000",pending-free-agent-extension,2021
Josh Adams,RB,NYJ,24,1,"$1,180,000",pending-free-agent-extension,2021
Carl Davis,DT,NE,28,1,"$1,077,500",pending-free-agent-extension,2021
Harold Landry,OLB,TEN,25,5,"$87,500,000",pending-free-agent-extension,2022
Emmanuel Ogbah,DE,MIA,28,4,"$65,400,000",pending-free-agent-extension,2022
Mike Williams,WR,LAC,27,3,"$60,000,000",pending-free-agent-extension,2022
De'Vondre Campbell,OLB,GB,28,5,"$50,000,000",pending-free-agent-extension,2022
