overall_pick_number,position,draft_value
1,QB,0
1,RB,214.5664033096697
1,WR,252.09431534920117
1,TE,269.60880554135343
2,QB,11.245151898421923
2,RB,213.04885784195176
2,WR,248.4052138586455
2,TE,264.10189524208295
3,QB,22.482839352376672
3,RB,211.5298523923625
3,WR,244.71776261145183
3,TE,258.5955000635654
4,QB,33.700930951460975
4,RB,210.00705045216924
4,WR,241.0346434629578
4,TE,253.09051994576825
5,QB,44.88228748879766
5,RB,208.47721200895325
5,WR,237.35964515350364
5,TE,247.58833283975034
6,QB,56.00549072564263
6,RB,206.93637595650156
6,WR,233.69750221760773
6,TE,242.09081549114296
7,QB,67.04555553664557
7,RB,205.38003820873723
7,WR,230.05373764623698
7,TE,236.60036435539757
8,QB,77.9746231503708
8,RB,203.80332476842023
8,WR,226.43450977296362
8,TE,231.11991591879638
9,QB,88.76263284968616
9,RB,202.20115888766708
9,WR,222.8464639283357
9,TE,225.65296560236766
10,QB,99.37796924283032
10,RB,200.5684213749238
10,WR,219.29658946081747
10,TE,220.20358436115382
11,QB,109.78808205400344
11,RB,198.90010305003437
11,WR,215.79208275807602
11,TE,214.7764320565471
12,QB,119.9600753093049
12,RB,197.19144832490434
12,WR,212.34021691977878
12,TE,209.37676667432996
13,QB,129.8612628049574
13,RB,195.43808889031044
13,WR,208.94821873336133
13,TE,204.0104484835235
14,QB,139.45968683551382
14,RB,193.63616651809946
14,WR,205.62315358834957
14,TE,198.6839382797343
15,QB,148.72459732399432
15,RB,191.78244404074496
15,WR,202.37181893396996
15,TE,193.40428892935523
16,QB,157.62688872863424
16,RB,189.87440364497488
16,WR,199.20064683992996
16,TE,188.1791295254738
17,QB,166.13949239456468
17,RB,187.91033171094722
17,WR,196.11561616288765
17,TE,183.01664158019702
18,QB,174.23772236668236
18,RB,185.88938954092953
18,WR,193.1221747525259
18,TE,177.92552680869125
19,QB,181.89957307482246
19,RB,183.81166944945767
19,WR,190.22517205274787
19,TE,172.91496620489573
20,QB,189.10596773620676
20,RB,181.67823582776407
20,WR,187.42880236684871
20,TE,167.99457026410502
21,QB,195.84095678442367
21,RB,179.49115094666655
21,WR,184.73655896223704
21,TE,163.17432037120932
22,QB,202.09186612165547
22,RB,177.25348542114384
22,WR,182.15119909182732
22,TE,158.46450154117142
23,QB,207.84939549200533
23,RB,174.96931342418833
23,WR,179.67471990740106
23,TE,153.8756268681336
24,QB,213.10766778093756
24,RB,172.64369290418335
24,WR,177.30834513657015
24,TE,149.418354207291
25,QB,217.86423055056702
25,RB,170.28263122680977
25,WR,175.05252229109942
25,TE,145.10339577710891
26,QB,222.12001161453838
26,RB,167.8930368263545
26,WR,172.90693007189856
26,TE,140.94142152488294
27,QB,225.87923093218683
27,RB,165.48265761005192
27,WR,170.8704955364052
27,TE,136.94295724352293
28,QB,229.14927155169272
28,RB,163.06000701033184
28,WR,168.94142049894373
28,TE,133.11827855931813
29,QB,231.9405127495461
29,RB,160.63427872113652
29,WR,167.11721654522876
29,TE,129.47730202625795
30,QB,234.26612889233695
30,RB,158.21525128404284
30,WR,165.39474795981
30,TE,126.02947466068869
31,QB,236.14185788090288
31,RB,155.81318380561714
31,WR,163.77028179112534
31,TE,122.78366332838641
32,QB,237.58574332164358
32,RB,153.43870418777135
32,WR,162.23954421387688
32,TE,119.74804545311483
33,QB,238.61785480054527
33,RB,151.10269133635643
33,WR,160.797782293674
33,TE,116.9300025500797
34,QB,239.25999080964652
34,RB,148.81615287863082
34,WR,159.43983021494364
34,TE,114.33601809864675
35,QB,239.53536898993497
35,RB,146.5900999667074
35,WR,158.16017900063588
35,TE,111.97158125560438
36,QB,239.4683084081778
36,RB,144.4354207709591
36,WR,156.95304873163553
36,TE,109.84109787319815
37,QB,239.0839085769996
37,RB,142.3627542741515
37,WR,155.81246226526395
37,TE,107.94781022518208
38,QB,238.4077298575823
38,RB,140.38236596392676
38,WR,154.73231945595882
38,TE,106.29372676015092
39,QB,237.4654797544656
39,RB,138.5040269881062
39,WR,153.70647089696973
39,TE,104.8795630952649
40,QB,236.2827094235255
40,RB,136.7368982847238
40,WR,152.72879022951648
40,TE,103.70469533650302
41,QB,234.88452447043824
41,RB,135.08942112750617
41,WR,151.7932441048722
41,TE,102.76712666585064
42,QB,233.29531382143017
42,RB,133.56921543846124
42,WR,150.89395893469418
42,TE,102.06346797283561
43,QB,231.53850010515686
43,RB,132.18298711380538
43,WR,150.02528362489656
43,TE,101.5889331303965
44,QB,229.636314599463
44,RB,130.93644548888173
44,WR,149.1818475575871
44,TE,101.3373493254525
45,QB,227.60959937482306
45,RB,129.83423193370461
45,WR,148.35861316313924
45,TE,101.30118265557996
46,QB,225.477638813946
46,RB,128.8798604251428
46,WR,147.55092250920205
46,TE,101.47157899787649
47,QB,223.25802221080897
47,RB,128.07567078645977
47,WR,146.75453742423298
47,TE,101.83841994743275
48,QB,220.96653865901322
48,RB,127.42279512200632
48,WR,145.9656727687214
48,TE,102.390393413868
49,QB,218.61710493613458
49,RB,126.92113780652592
49,WR,145.1810225663504
49,TE,103.11507825844777
50,QB,216.22172658476796
50,RB,126.56936921701464
50,WR,144.39777880856846
50,TE,103.99904215434185
51,QB,213.79049188934755
51,RB,126.36493322253712
51,WR,143.61364284810747
51,TE,105.02795166176713
52,QB,211.33159795804517
52,RB,126.3040682762884
52,WR,142.8268293984264
52,TE,106.18669333100428
53,QB,208.85140764730556
53,RB,126.38184178644723
53,WR,142.03606325571803
53,TE,107.45950448235516
54,QB,206.35453562037225
54,RB,126.59219728044934
54,WR,141.2405689564685
54,TE,108.83011216554146
55,QB,203.8439614158209
55,RB,126.9280137230459
55,WR,140.4400536755753
55,TE,110.28187867431512
56,QB,201.32116702392022
56,RB,127.38117620395872
56,WR,139.63468375638777
56,TE,111.79795188697273
57,QB,198.78629613248143
57,RB,127.94265707789788
57,WR,138.82505534371967
57,TE,113.36141862198505
58,QB,196.23833191432595
58,RB,128.60260651976523
58,WR,138.01215966288242
58,TE,114.95545914134419
59,QB,193.67528998918795
59,RB,129.350451352439
59,WR,137.19734355127127
59,TE,116.56350090344299
60,QB,191.09442300718558
60,RB,130.1750009149651
60,WR,136.38226590319306
60,TE,118.1693696632461
61,QB,188.49243317071137
61,RB,131.0645586661129
61,WR,135.56885073292574
61,TE,119.75743604004967
62,QB,185.86568893858956
62,RB,132.0070381630028
62,WR,134.75923759489552
62,TE,121.3127557224586
63,QB,183.21044214072882
63,RB,132.99008201730462
63,WR,133.95573012311485
63,TE,122.82120155554738
64,QB,180.52304177347222
64,RB,134.00118241267205
64,WR,133.16074346437804
64,TE,124.26958585570537
65,QB,177.80014084380153
65,RB,135.02780176660656
65,WR,132.3767513812441
65,TE,125.64577142298646
66,QB,175.03889278308776
66,RB,136.05749213767461
66,WR,131.60623379156596
66,TE,126.9387698673213
67,QB,172.23713415492514
67,RB,137.07801201434626
67,WR,130.8516254916476
67,TE,128.13882603147772
68,QB,169.3935506337712
68,RB,138.07743917415266
68,WR,130.11526678034858
68,TE,129.23748747819945
69,QB,166.50782352725494
69,RB,139.04427837027615
69,WR,129.39935666219674
69,TE,130.22765820844543
70,QB,163.58075445029232
70,RB,139.96756268610835
70,WR,128.70590925952465
70,TE,131.10363598976497
71,QB,160.61436612848857
71,RB,140.83694749531557
71,WR,128.03671400753427
71,TE,131.86113289510192
72,QB,157.6119777057092
72,RB,141.64279607410452
72,WR,127.3933001429779
72,TE,132.49727887984596
73,QB,154.57825335008621
73,RB,142.3762560320545
73,WR,126.77690592776649
73,TE,133.0106084553438
74,QB,151.51922338774594
74,RB,143.0293258562832
74,WR,126.18845297433333
74,TE,133.4010307470008
75,QB,148.44227763735807
75,RB,143.59491099903653
75,WR,125.62852596113387
75,TE,133.6697834512652
76,QB,145.35613106466877
76,RB,144.06686907907545
76,WR,125.09735794537141
76,TE,133.81937142484122
77,QB,142.27076231769553
77,RB,144.44004391056623
77,WR,124.59482139710289
77,TE,133.8534908482927
78,QB,139.1973261336543
78,RB,144.7102882175391
78,WR,124.12042499547672
78,TE,133.77694010164564
79,QB,136.14804102136407
79,RB,144.87447503543868
